Year,Reg,Group,Bra15,Bra16,Bra17,Bra18,Bra19,Bra20,Bra21,Bra22,Bra23,Bra24,Bra25,Bra26,Bra27,Bra28,Bra29,Bra30,Bra31,Bra32,Bra33,Bra34,Bra35,Bra36,Bra37,Bra38,Bra39,Bra40,Bra41,Bra42,Bra43,Bra44,Bra45,Bra46,Bra47,Bra48,Bra49,Bra50,Bra51,Bra52,Bra53,Bra54,Bra55
2015,1100,T,2440,7309,17937,35670,54459,69917,81261,87135,97354,105013,110939,116265,117204,113667,104521,99241,93068,83668,73773,63590,55377,48632,39468,31387,22952,16555,11246,6942,4070,2033,1090,539,285,146,93,61,36,25,10,8,20
2015,1100,U,2003,6017,14076,27304,43243,56679,66760,71866,81738,93469,103129,112016,115217,113015,104755,100074,94506,85147,75195,64522,56195,49583,40251,31875,23303,16880,11367,7034,4157,2083,1126,600,329,178,113,76,43,32,13,11,26
2015,1100,R,3450,10441,27806,59771,87549,110058,128602,144029,161123,151180,141268,132243,124546,116064,103645,96093,87660,78106,68486,60109,52361,45230,36720,29700,21741,15453,10845,6640,3791,1874,975,359,161,53,39,19,14,3,3,0,3
2015,3000,T,1792,5464,13208,25158,40789,54370,64903,70590,80822,90221,97150,104280,107823,105191,96760,91637,87478,79254,69758,58835,51518,46056,36997,29522,21653,15957,10938,6850,4008,2007,1132,662,363,158,106,102,44,28,3,9,25
2015,3000,U,1410,4503,10824,20963,35361,48718,59044,65296,75036,86672,95302,105114,109690,107453,98763,93446,89936,81407,71900,60537,52697,47445,38246,30427,22331,16631,11443,7149,4351,2143,1200,745,433,188,116,115,53,35,4,10,28
2015,3000,R,3430,9696,23968,45709,67587,82116,94705,99635,114050,110846,107819,99672,97673,92847,85334,81058,73184,66683,57259,48571,44469,38172,30097,24597,17934,12324,8275,5291,2265,1308,785,266,44,21,60,39,0,0,0,0,15
2015,1114,T,1737,8115,15849,28031,44769,56761,68211,75447,87107,103015,104188,107924,106684,104404,93850,87661,80174,70014,61836,55548,48663,40072,32848,27469,19805,12119,7363,5949,2978,1130,588,201,0,0,0,0,0,0,0,0,69
2015,1114,U,727,5990,11358,23601,31469,46225,54743,64615,72928,93917,99800,105409,109164,105523,98151,89892,80718,68476,63512,57803,46314,42104,32724,26520,21259,11955,7897,5065,3129,1104,580,303,0,0,0,0,0,0,0,0,101
2015,1114,R,3624,12083,24714,37387,74378,82762,103536,106250,128200,128008,116081,114450,100301,101461,82500,81679,78692,74231,57261,49359,54982,34777,33172,29879,16330,12498,6153,7887,2649,1184,604,0,0,0,0,0,0,0,0,0,0
2015,1115,T,2836,5415,17652,30751,49460,63460,80261,86124,108006,109480,117812,115678,113654,109577,95911,89117,80510,71371,64237,53151,47590,36108,30576,24358,17468,9217,9433,4213,2972,1365,582,240,702,0,0,0,0,0,0,0,0
2015,1115,U,1908,3640,13561,21333,44661,57794,76673,80814,103544,114430,125254,127319,120992,112489,104849,98728,83647,75192,67152,54690,49000,39455,32191,25859,17471,9740,10213,3955,3181,1430,164,346,677,0,0,0,0,0,0,0,0
2015,1115,R,4935,9940,28591,56188,61538,76458,88998,99040,118383,98152,101128,88651,95637,102469,73594,64373,72006,60655,55814,48574,43544,26879,26195,20266,17460,7824,7394,4876,2437,1200,1616,0,758,0,0,0,0,0,0,0,0
2015,1117,T,2495,8749,18520,36697,54316,70869,81211,85524,100952,109254,118171,114864,115337,107679,101692,92882,89844,78810,74078,58069,50539,45816,30289,28926,20758,13674,8456,5849,2945,817,523,220,221,0,0,195,92,0,0,0,0
2015,1117,U,2507,7217,13997,33613,50620,62798,76602,80768,93664,108312,118948,119251,120386,114574,105025,95933,92544,83329,80096,60807,51840,48163,30150,28878,21654,13910,8940,6273,3541,896,657,277,281,0,0,249,119,0,0,0,0
2015,1117,R,2450,14574,36788,50633,70862,106101,101002,106603,132909,113333,114955,97668,95854,80778,87968,79803,78431,59817,49107,46991,45117,36022,30863,29126,16901,12684,6526,4113,516,505,0,0,0,0,0,0,0,0,0,0,0
2015,1120,T,2840,6216,16185,30150,42417,58097,65928,67619,78819,90979,99981,98184,107856,102854,93253,88643,84566,75454,64865,56246,45767,36852,30372,23381,18541,12564,8020,4310,3448,1206,458,338,67,65,0,0,0,105,0,0,0
2015,1120,U,2576,4990,11363,22590,31627,46638,52709,53715,66803,82495,98870,102443,117432,107796,99897,96154,92237,82711,71744,60745,49184,39879,33190,24932,20279,13269,8745,4404,4056,1403,387,405,101,99,0,0,0,160,0,0,0
2015,1120,R,3302,8551,26015,48846,70524,88882,105002,117211,123777,119437,103425,86184,82551,90134,76064,68933,64442,56841,47492,44817,37186,29660,23978,19839,14561,10980,6448,4108,2156,790,607,203,0,0,0,0,0,0,0,0,0
2015,1124,T,1504,5835,20447,31478,50322,58440,64402,78782,81930,101367,100063,106678,110404,101379,94706,95895,92128,84437,75056,54597,55409,45765,38072,27785,19039,14351,9245,4145,2933,681,1111,573,147,0,0,0,0,0,0,110,0
2015,1124,U,1531,5220,20159,25487,47368,57652,63725,73353,76761,101746,100236,108288,110540,106385,97134,97289,93551,88362,78011,55759,58160,45494,37005,27616,19564,14001,9958,4111,3169,810,1325,688,179,0,0,0,0,0,0,139,0
2015,1124,R,1381,8766,21944,64412,65129,62262,68053,111045,112617,99166,99076,98069,109682,74759,82139,88785,84759,62709,58235,48387,40575,47337,44244,28764,15986,16351,5242,4333,1680,0,0,0,0,0,0,0,0,0,0,0,0
2015,1129,T,3312,9496,17730,32250,53814,80009,85327,91185,113687,109664,121889,125444,116696,111539,105980,108517,96949,82442,73437,63242,54406,49042,35926,28713,24256,16876,9658,7168,3957,1427,1188,466,0,0,142,0,0,0,0,0,0
2015,1129,U,3750,8342,14844,27314,50397,76323,83345,86357,107593,112673,124617,135321,122355,116392,111197,113447,103662,87354,78490,66142,55176,50682,36798,27918,24430,17390,10501,7507,4661,1464,768,403,0,0,183,0,0,0,0,0,0
2015,1129,R,2015,12942,26721,48325,65401,92412,92054,108034,136441,99197,112752,92264,96869,94266,87871,91038,72509,64118,54803,52551,51537,42853,32616,31683,23612,14954,6553,5921,1336,1297,2626,679,0,0,0,0,0,0,0,0,0
2015,1134,T,2081,5187,16541,29245,51044,61737,81271,97593,103345,118224,134239,131737,134037,122507,121971,116075,94459,89395,72997,67117,57190,50867,40214,32939,22601,14617,9165,6178,2737,1140,467,239,0,0,0,0,0,0,0,0,0
2015,1134,U,1982,6524,14801,28297,44104,56058,74559,88437,91241,102768,131465,136712,132951,119021,116583,109796,95994,88631,74851,67968,60070,52148,38974,34255,25338,15902,9250,6055,2190,1261,659,340,0,0,0,0,0,0,0,0,0
2015,1134,R,2312,1340,22075,32283,71279,78804,103374,131783,157895,179894,145325,112262,138207,137453,145005,142857,87935,92537,65756,64054,47402,46888,43874,28948,14676,11045,8925,6509,4209,825,0,0,0,0,0,0,0,0,0,0,0
2015,1138,T,2707,5109,19319,38049,58609,79569,83572,84957,100738,107081,118847,120929,113251,106887,100820,93330,83945,74007,67925,53587,48447,48234,30455,21892,17777,14091,9791,5293,3086,1524,780,408,0,0,0,0,0,0,0,0,0
2015,1138,U,1278,4585,12071,28311,39221,61982,65362,73100,83388,96164,107346,116154,113058,108076,103621,96359,89850,76546,69909,56272,49453,50596,30099,22478,16789,15710,10151,5324,3264,1527,981,623,0,0,0,0,0,0,0,0,0
2015,1138,R,5381,6167,34472,61835,110037,133380,146182,130994,172534,147857,159236,136878,113899,103053,92124,83703,65207,65929,61725,45443,45466,41400,31436,20381,20202,10163,8930,5226,2725,1517,385,0,0,0,0,0,0,0,0,0,0
2015,1142,T,2508,8332,17381,36601,56000,70617,80465,94965,99249,105538,118110,114830,112040,110320,97379,87765,84391,72495,67064,59591,52934,43906,30809,26131,19759,11182,7949,4964,3646,1565,990,262,259,0,0,0,0,0,0,0,0
