Year,Reg,Group,Bra15,Bra16,Bra17,Bra18,Bra19,Bra20,Bra21,Bra22,Bra23,Bra24,Bra25,Bra26,Bra27,Bra28,Bra29,Bra30,Bra31,Bra32,Bra33,Bra34,Bra35,Bra36,Bra37,Bra38,Bra39,Bra40,Bra41,Bra42,Bra43,Bra44,Bra45,Bra46,Bra47,Bra48,Bra49,Bra50,Bra51,Bra52,Bra53,Bra54,Bra55
2012,1100,T,3205,8665,20773,39308,59610,73888,81073,87872,98696,109049,113846,108360,105481,102837,96985,90238,79865,71356,65435,58558,50410,41430,33272,26076,19499,13704,8940,5672,3224,1687,836,394,174,106,59,33,19,9,9,10,11
2012,1100,U,2563,6642,15442,28474,42659,54210,62137,70914,84330,97711,105601,102366,100935,99819,94996,88918,78747,70559,64869,58379,50191,41344,32939,25903,19267,13692,8914,5472,3177,1631,823,395,195,112,71,40,19,12,12,13,12
2012,1100,R,4623,13511,34759,73456,120390,147680,149898,147112,147111,146573,141226,128884,121282,113382,104010,94891,83875,74211,67411,59176,51159,41725,34395,26650,20263,13745,9022,6299,3364,1847,873,391,113,89,23,13,18,3,0,0,7
2012,3000,T,2438,6637,15281,29713,45138,55842,61407,69187,80570,93162,100310,96239,95513,95428,90405,83917,73402,65168,59905,54070,46615,37979,30301,24619,18267,12974,8417,5138,3227,1595,776,391,249,124,53,39,23,14,20,9,9
2012,3000,U,1798,5295,11956,23046,35728,45737,51806,61014,73411,88184,97444,94539,94982,95331,90620,84465,73882,65286,60793,55162,47641,38764,31045,25337,18932,13560,8795,5276,3387,1684,869,419,277,139,61,44,24,17,25,11,11
2012,3000,R,4953,12222,29876,62591,95378,111453,114306,113380,117481,118326,114855,105289,98416,95960,89212,80860,70621,64485,54973,48126,41072,33710,26321,20841,14800,9988,6462,4432,2459,1184,360,264,118,56,17,17,16,0,0,0,0
2012,1114,T,2378,7244,16411,34118,53424,64841,79463,80645,95158,110984,105491,100200,94846,90675,86675,83114,74759,64793,59473,47585,41135,33489,27190,20858,15649,10693,6431,4136,1924,1485,287,184,89,0,0,0,0,0,0,0,0
2012,1114,U,1398,6191,11505,23778,37907,47281,61136,72495,86466,104574,102927,96402,95639,89030,86995,83516,76864,63813,61024,49221,42324,35183,26774,19349,17246,9733,6507,3925,1829,1340,428,137,0,0,0,0,0,0,0,0,0
2012,1114,R,4103,9201,26874,60695,96781,115942,129547,101533,116215,126398,111784,109808,92804,95035,85820,82035,68977,67423,55476,43338,38140,29477,28148,24275,12139,12773,6269,4579,2112,1773,0,278,273,0,0,0,0,0,0,0,0
2012,1115,T,3287,9046,19818,38777,63078,73136,83805,91107,96388,110125,108792,100232,98774,89772,91879,74058,73195,59542,59622,46568,43841,33746,24960,21247,15131,10316,6974,3797,2480,810,1134,334,326,207,98,0,176,87,0,0,0
