Year,Reg,Group,Sex,Dra0,Dra1,Dra2,Dra3,Dra4,Dra5,Dra6,Dra7,Dra8,Dra9,Dra10,Dra11,Dra12,Dra13,Dra14,Dra15,Dra16,Dra17,Dra18,Dra19,Dra20,Dra21,Dra22,Dra23,Dra24,Dra25,Dra26,Dra27,Dra28,Dra29,Dra30,Dra31,Dra32,Dra33,Dra34,Dra35,Dra36,Dra37,Dra38,Dra39,Dra40,Dra41,Dra42,Dra43,Dra44,Dra45,Dra46,Dra47,Dra48,Dra49,Dra50,Dra51,Dra52,Dra53,Dra54,Dra55,Dra56,Dra57,Dra58,Dra59,Dra60,Dra61,Dra62,Dra63,Dra64,Dra65,Dra66,Dra67,Dra68,Dra69,Dra70,Dra71,Dra72,Dra73,Dra74,Dra75,Dra76,Dra77,Dra78,Dra79,Dra80,Dra81,Dra82,Dra83,Dra84,Dra85,Dra86,Dra87,Dra88,Dra89,Dra90,Dra91,Dra92,Dra93,Dra94,Dra95,Dra96,Dra97,Dra98,Dra99,Dra100
2015,3000,T,M,6686,429,328,222,310,334,239,199,199,198,180,233,192,344,394,499,647,845,1085,1286,1548,1431,1694,1720,1795,2115,2437,2876,3142,3136,3507,4112,4553,4870,5166,5343,6096,6406,6424,6792,7266,6969,7209,7784,7572,8409,8992,9345,10306,10926,11607,12758,13470,14859,15254,16384,18781,19612,21542,23212,26579,27957,29506,31764,32575,34720,39591,35691,44616,39130,43877,48068,43498,62664,61031,66070,76743,74877,83729,89420,95154,96437,110901,122558,127230,135410,150320,163881,166962,163189,174811,176519,175387,178255,160117,155142,210109,196875,153451,175159,145165
2015,3000,T,F,5405,434,281,202,182,211,166,159,116,112,242,238,184,287,288,377,303,394,505,433,466,590,506,510,552,609,739,734,826,864,1037,1372,1402,1490,1575,1708,1897,1908,2039,2233,2128,2471,2505,2726,2661,2738,3107,3230,3534,3651,3816,4017,4637,5047,5051,5711,6237,6570,7128,7769,8379,9042,9752,11212,11643,12734,15717,14322,18692,17359,20036,21814,22032,30029,30166,34616,41400,42374,51987,58836,65230,71576,84474,95258,105689,116635,131962,150067,166435,177409,197221,212619,232297,258605,244990,277705,323766,312929,296170,312519,236287
2015,3000,U,B,5973,423,293,209,234,250,183,155,150,138,230,237,181,303,347,415,447,566,759,794,957,914,986,986,1040,1301,1492,1697,1876,1846,2168,2619,2846,3013,3279,3413,3758,3978,4031,4345,4389,4493,4608,4934,4807,5219,5716,5852,6391,6707,7120,7587,8213,9168,9155,9965,11147,11478,12766,13639,15197,15977,17093,18584,19155,20458,24040,22280,27778,24943,28276,29742,28647,39581,38964,43853,50487,51404,59764,65939,72113,76673,89629,101100,108560,117775,135305,151178,165020,172738,190367,201986,215104,236804,216308,232154,278019,270441,247947,268193,188544
2015,3000,U,M,6650,428,299,217,291,297,226,181,191,167,200,224,194,345,414,436,590,754,1074,1174,1457,1273,1537,1541,1574,1987,2274,2724,2961,2953,3386,4000,4380,4656,5075,5257,5890,6283,6306,6699,6873,6666,7014,7372,7224,8078,8745,8826,9803,10451,11173,12018,12821,14430,14459,15570,18138,18471,20774,22286,25386,26668,28356,30409,31155,33123,38315,35383,43767,38219,43003,44636,41917,60493,58707,64794,72997,72217,80655,85788,90711,92067,106595,116700,119947,128236,144795,158398,165907,161661,173729,177103,168875,167962,154904,143892,199382,198606,135104,172195,140343
2015,3000,U,F,5258,417,287,200,173,201,138,129,107,108,260,250,166,260,276,393,299,369,431,407,444,547,432,420,494,604,718,698,825,790,1011,1294,1371,1434,1544,1636,1727,1806,1904,2149,2067,2452,2349,2651,2528,2556,2953,3172,3399,3474,3659,3847,4374,4865,4853,5536,5820,6239,6884,7438,8074,8667,9545,10848,11341,12418,15285,14260,18156,17073,19618,21215,21614,29340,29520,34238,40793,42544,50917,57740,64673,70925,83551,95628,104569,114210,132261,148820,164579,175795,194607,207937,226706,256275,236356,261942,301742,291947,283643,299358,207364
2015,3000,R,B,6517,470,356,227,311,377,291,285,195,235,124,230,219,371,324,543,617,890,1009,1216,1308,1520,1729,1885,1988,1784,2119,2350,2511,2737,2737,3338,3618,3995,3796,4051,5074,4805,4934,5016,5867,5532,5756,6445,6319,6839,6973,7503,8198,8607,8906,10143,10826,11110,12009,12807,14331,15494,15838,17366,19512,20703,20980,23365,23844,25530,28909,23728,31999,28210,31893,38670,32448,44815,44103,46561,57309,54363,67339,73587,79018,83526,96729,105665,119141,132088,139078,160142,172475,181065,202643,222032,249077,266956,274533,337320,408507,381253,363178,361796,436750
2015,3000,R,M,6879,433,453,246,395,491,298,278,235,337,91,269,182,344,311,759,894,1246,1135,1771,1949,2136,2415,2619,2948,2761,3209,3573,3977,4015,4101,4670,5423,5958,5657,5811,7141,7024,7010,7264,9213,8447,8155,9701,9236,9967,10064,11482,12278,12805,13343,15614,15913,16454,18248,19391,21072,23679,24302,26638,31051,32882,33990,37014,38276,41088,44666,37071,48610,43739,48623,64626,49977,70823,69978,70918,90409,85218,95503,102239,111131,111593,125316,142081,152039,160778,170575,186925,172279,171303,180878,173624,217277,257095,210775,266348,311180,180596,430865,222272,251804
2015,3000,R,F,6135,508,254,208,222,257,285,292,154,128,159,189,257,401,337,309,320,507,866,564,570,804,909,1029,889,638,859,933,832,1285,1186,1829,1587,1819,1765,2143,2860,2470,2769,2694,2452,2571,3318,3107,3345,3664,3842,3497,4133,4453,4540,4779,5807,5860,5944,6493,8055,8009,8207,9261,9762,10753,10702,12872,13036,14180,17708,14626,21353,18825,22240,24557,23654,32529,32498,35975,43547,41738,55923,62483,67103,73712,87341,94119,109094,123972,131045,153984,172507,182968,206511,230135,254038,268519,284615,348319,422816,408827,356285,376236,463119
2015,1114,T,B,6208,617,223,114,120,121,353,300,193,275,140,276,70,299,227,612,384,749,1167,1162,876,1137,1108,1326,1289,880,1289,1791,1891,1355,1892,2276,2726,2138,2610,3094,3477,2988,3444,3531,3881,3804,3789,4564,4647,4533,4822,4740,6120,5384,7293,7956,8429,9594,10429,11183,12285,12158,14136,13801,16429,18285,16908,20119,19948,20980,25917,21019,32564,28347,29356,36657,32647,44300,43661,49694,59509,57146,70534,78991,92065,86710,105854,121604,125800,134199,151917,163520,191906,181863,213558,262054,232127,269747,302363,296731,387085,439666,333489,326078,318169
2015,1114,T,M,6396,767,217,221,231,235,574,234,373,402,275,268,136,294,147,445,303,1168,1722,1811,1394,1219,1812,2004,1996,1346,1946,2810,3244,2106,2998,2911,3744,3342,3764,5142,5300,4787,5317,5149,6464,5609,6083,6454,7227,6679,7713,6940,9665,8499,11416,13088,12728,15196,16355,17836,18963,20685,23951,22486,27824,29558,28472,32220,33023,35411,42588,34281,53707,49534,48905,57952,48751,69150,69887,78062,88440,84400,101842,119245,121918,97376,131854,153373,168958,165080,187574,177548,188636,205804,231968,265264,190582,232173,370577,437025,320178,400223,181919,0,315965
