Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
1989,1117,R,B,4600,20582,24790,22740,16726,16302,23989,26403,22338,14837,15977,24731,26855,29029,17572,12474,13835,7572,3642
1989,1117,R,M,2301,10404,12495,11670,8207,7922,12488,13967,11937,7829,7801,11648,12081,11084,4927,2980,2575,1214,428
1989,1117,R,F,2299,10179,12295,11071,8519,8380,11502,12436,10401,7008,8177,13084,14774,17945,12645,9494,11260,6358,3214
1989,1120,T,B,32004,136585,161265,152093,151339,150785,184740,194942,175591,127910,132084,181700,168110,180166,92706,83615,89460,47475,26618
1989,1120,T,M,16418,69927,82147,77167,77848,77284,93984,98729,88187,62305,61632,84259,75965,71010,28256,22580,22158,10268,4536
1989,1120,T,F,15587,66659,79118,74927,73491,73502,90756,96214,87404,65605,70452,97441,92145,109156,64450,61035,67302,37207,22082
1989,1120,U,B,20401,85964,101988,96069,106327,103515,122563,131784,121423,89261,79531,104524,84771,92613,48337,40596,39069,20402,11221
1989,1120,U,M,10482,44033,52047,48744,52576,52383,60392,64484,59441,42718,37134,47764,37233,37900,15330,12137,10652,4676,2065
1989,1120,U,F,9919,41932,49941,47325,53751,51132,62172,67300,61982,46543,42398,56760,47538,54713,33007,28459,28417,15726,9156
1989,1120,R,B,11603,50621,59277,56024,45012,47270,62177,63158,54168,38649,52553,77176,83339,87553,44369,43019,50391,27074,15398
1989,1120,R,M,5936,25894,30100,28423,25272,24901,33593,34245,28746,19588,24498,36496,38732,33111,12926,10443,11506,5592,2472
1989,1120,R,F,5668,24727,29177,27602,19740,22370,28584,28914,25422,19062,28055,40681,44607,54443,31443,32576,38885,21482,12926
1989,1124,T,B,16628,70250,87078,85083,85515,82272,96493,103368,101216,69972,64294,95111,90300,95294,54174,38811,38321,20645,9623
1989,1124,T,M,8430,35805,44472,43071,41114,40194,49107,51782,50569,34532,30275,43620,38185,37064,15846,9346,7356,3267,1181
1989,1124,T,F,8199,34445,42607,42012,44401,42078,47386,51587,50648,35441,34019,51491,52115,58230,38328,29466,30965,17378,8442
1989,1124,U,B,13428,56099,69567,69436,73190,69512,79192,84676,85503,60483,53729,78077,71873,76796,43110,31143,29670,15668,7219
1989,1124,U,M,6832,28587,35687,35120,33998,33345,40028,41790,42111,29435,25065,35142,29827,29970,12688,7612,5831,2562,904
1989,1124,U,F,6596,27512,33880,34316,39192,36167,39164,42886,43392,31048,28664,42936,42046,46826,30422,23532,23840,13106,6316
1989,1124,R,B,3201,14151,17511,15647,12325,12760,17302,18693,15714,9489,10565,17034,18427,18498,11064,7668,8651,4977,2404
1989,1124,R,M,1598,7219,8785,7951,7116,6849,9079,9992,8458,5097,5210,8479,8358,7095,3158,1734,1525,706,278
1989,1124,R,F,1603,6933,8727,7696,5209,5911,8223,8701,7256,4393,5355,8555,10069,11404,7906,5934,7126,4272,2127
1989,1129,T,B,14460,62702,75374,70885,68853,64722,86029,93431,83458,59421,54503,75560,68518,70445,42054,27732,26426,14311,7457
1989,1129,T,M,7374,31922,38380,36089,35334,32768,43477,47245,42137,29401,25712,35089,30416,27037,12255,7299,5496,2357,959
1989,1129,T,F,7086,30780,36994,34796,33519,31954,42552,46187,41322,30020,28792,40472,38102,43408,29800,20433,20930,11955,6498
1989,1129,U,B,10101,44207,53795,50313,51209,47560,62880,68763,62436,45359,38678,51522,41954,42696,24166,16127,14306,7801,4116
1989,1129,U,M,5159,22520,27398,25491,25564,23734,31025,33834,30686,21965,18089,23722,18388,16962,7422,4670,3290,1387,588
1989,1129,U,F,4943,21687,26397,24822,25645,23826,31855,34929,31750,23395,20589,27800,23567,25734,16744,11457,11016,6414,3529
1989,1129,R,B,4359,18495,21580,20572,17645,17162,23149,24669,21022,14062,15826,24039,26564,27749,17889,11605,12120,6511,3341
1989,1129,R,M,2216,9402,10982,10599,9770,9034,12453,13411,11451,7436,7623,11367,12028,10075,4833,2630,2206,970,371
1989,1129,R,F,2144,9093,10598,9974,7875,8128,10697,11258,9572,6626,8203,12672,14536,17674,13056,8976,9915,5541,2970
1989,1134,T,B,11473,49189,58850,52743,50474,48575,64022,67855,60848,39710,37562,56049,54284,55817,34015,23028,22105,12193,5859
1989,1134,T,M,5921,24916,29882,26803,24942,24376,33094,35048,31426,20513,18297,26472,23825,21688,9906,5418,4314,1973,709
1989,1134,T,F,5552,24274,28968,25940,25532,24200,30928,32808,29422,19197,19265,29577,30459,34129,24109,17611,17791,10220,5150
1989,1134,U,B,7605,32602,40231,36715,39491,34892,44733,47786,44310,29847,26799,39088,34250,35320,20834,14288,13271,7219,3569
1989,1134,U,M,3916,16514,20403,18673,18997,17351,22553,24100,22253,15091,12870,17890,14659,14043,6186,3542,2761,1219,453
1989,1134,U,F,3689,16089,19829,18042,20494,17541,22180,23686,22057,14756,13929,21199,19591,21277,14649,10746,10510,6000,3116
1989,1134,R,B,3868,16587,18619,16028,10983,13684,19289,20069,16538,9863,10763,16961,20034,20497,13181,8741,8835,4975,2291
1989,1134,R,M,2005,8402,9480,8130,5945,7025,10542,10948,9173,5422,5427,8582,9166,7645,3721,1876,1553,755,256
1989,1134,R,F,1863,8185,9139,7898,5038,6659,8748,9122,7366,4441,5337,8379,10868,12852,9460,6865,7282,4220,2035
1989,1138,T,B,17701,75808,90927,86584,82266,77473,102277,108697,94778,64496,68709,98373,91260,96526,59042,42115,41946,22263,12893
1989,1138,T,M,9158,38529,46117,43908,41077,38743,52922,55911,48387,31988,32149,46053,41651,37399,18101,11237,9559,4420,2038
1989,1138,T,F,8543,37280,44810,42676,41189,38730,49355,52787,46391,32508,36560,52320,49609,59127,40941,30878,32387,17843,10855
1989,1138,U,B,11318,48489,60295,56135,55856,50590,68268,75198,67297,44112,37769,49410,37769,40463,25109,17186,15450,8090,4640
1989,1138,U,M,5863,24618,30584,28470,25522,24225,33812,36870,33187,21663,17628,22947,16729,15916,7879,4864,3863,1635,750
