Year,Sex,Pdc0,Pdc1,Pdc5,Pdc10,Pdc15,Pdc20,Pdc25,Pdc30,Pdc35,Pdc40,Pdc45,Pdc50,Pdc55,Pdc60,Pdc65,Pdc70,Pdc75,Pdc80,Pdc85
1963,F,1148767,5218513,6569201,5817823,3667561,4942192,5424270,5547863,5800383,3815671,3806850,4407578,3617342,2956763,2107920,1510964,1052993,543952,330567
1964,F,1063473,5049108,6618766,5940795,4329255,4053885,5862941,5111685,6014511,4097864,3595977,4528152,3707348,3124004,2178362,1536693,1102203,584276,347792
1965,F,984064,4778211,6603121,6064662,4983633,3360884,6112557,4826860,6086912,4517266,3375652,4545129,3840841,3234334,2288184,1609092,1112595,617240,363323
1966,F,946217,4455170,6565879,6192791,5382452,3034516,6113845,4773120,6001084,4978732,3343226,4350833,3989032,3315331,2422539,1689620,1121377,643974,376346
1967,F,914380,4165122,6454989,6301187,5605195,3174917,5712051,4948717,5783689,5393908,3502780,4000739,4145371,3420324,2558236,1765514,1137874,666256,389806
1968,F,880428,3930400,6288235,6419219,5810401,3669747,4902930,5297271,5428862,5702326,3711942,3716863,4282535,3512036,2722188,1824517,1152516,697620,406913
1969,F,885772,3749172,6047071,6478343,5949825,4359693,4017130,5726291,4968108,5879646,3974596,3485082,4402083,3618367,2874858,1893606,1172175,725740,421439
1970,F,935094,3675498,5701557,6425009,6073544,5053295,3329731,5973925,4660336,5908800,4461958,3271338,4423148,3728043,2990550,1966015,1208182,725864,439157
1971,F,979982,3669278,5368194,6343472,6183714,5471474,3027192,5969923,4623909,5796937,4967250,3276895,4213863,3845517,3079196,2066629,1265479,724791,460104
1972,F,1010216,3691355,5077132,6259837,6246183,5659418,3186467,5581120,4835788,5584546,5326993,3475274,3859129,3983128,3164906,2191797,1330465,729243,482195
1973,F,1023181,3767838,4821104,6104554,6323167,5811792,3694132,4804210,5209656,5257033,5584926,3733187,3599584,4088616,3248090,2327250,1367055,731022,509670
