Area Code,M49 Code,Area
143,'504,Morocco
144,'508,Mozambique
144,'508,Mozambique
28,'104,Myanmar
28,'104,Myanmar
147,'516,Namibia
147,'516,Namibia
149,'524,Nepal
149,'524,Nepal
5817,'902,Net Food Importing Developing Countries
5817,'902,Net Food Importing Developing Countries
150,'528,Netherlands (Kingdom of the)
150,'528,Netherlands (Kingdom of the)
151,'530,Netherlands Antilles (former)
151,'530,Netherlands Antilles (former)
153,'540,New Caledonia
153,'540,New Caledonia
156,'554,New Zealand
156,'554,New Zealand
157,'558,Nicaragua
157,'558,Nicaragua
158,'562,Niger
158,'562,Niger
159,'566,Nigeria
159,'566,Nigeria
154,'807,North Macedonia
154,'807,North Macedonia
5103,'015,Northern Africa
5103,'015,Northern Africa
5203,'021,Northern America
5203,'021,Northern America
5402,'154,Northern Europe
5402,'154,Northern Europe
162,'578,Norway
162,'578,Norway
5500,'009,Oceania
5500,'009,Oceania
221,'512,Oman
221,'512,Oman
165,'586,Pakistan
165,'586,Pakistan
166,'591,Panama
166,'591,Panama
169,'600,Paraguay
169,'600,Paraguay
170,'604,Peru
170,'604,Peru
171,'608,Philippines
171,'608,Philippines
173,'616,Poland
173,'616,Poland
5504,'061,Polynesia
5504,'061,Polynesia
174,'620,Portugal
174,'620,Portugal
117,'410,Republic of Korea
117,'410,Republic of Korea
146,'498,Republic of Moldova
146,'498,Republic of Moldova
183,'642,Romania
183,'642,Romania
185,'643,Russian Federation
185,'643,Russian Federation
184,'646,Rwanda
184,'646,Rwanda
188,'659,Saint Kitts and Nevis
188,'659,Saint Kitts and Nevis
189,'662,Saint Lucia
189,'662,Saint Lucia
191,'670,Saint Vincent and the Grenadines
191,'670,Saint Vincent and the Grenadines
244,'882,Samoa
244,'882,Samoa
193,'678,Sao Tome and Principe
193,'678,Sao Tome and Principe
194,'682,Saudi Arabia
194,'682,Saudi Arabia
195,'686,Senegal
195,'686,Senegal
272,'688,Serbia
272,'688,Serbia
186,'891,Serbia and Montenegro
186,'891,Serbia and Montenegro
197,'694,Sierra Leone
197,'694,Sierra Leone
199,'703,Slovakia
199,'703,Slovakia
198,'705,Slovenia
198,'705,Slovenia
5803,'722,Small Island Developing States
5803,'722,Small Island Developing States
25,'090,Solomon Islands
25,'090,Solomon Islands
202,'710,South Africa
202,'710,South Africa
5207,'005,South America
5207,'005,South America
5304,'035,South-eastern Asia
5304,'035,South-eastern Asia
5104,'018,Southern Africa
5104,'018,Southern Africa
5303,'034,Southern Asia
5303,'034,Southern Asia
5403,'039,Southern Europe
5403,'039,Southern Europe
203,'724,Spain
203,'724,Spain
38,'144,Sri Lanka
38,'144,Sri Lanka
276,'729,Sudan
276,'729,Sudan
206,'736,Sudan (former)
206,'736,Sudan (former)
207,'740,Suriname
207,'740,Suriname
210,'752,Sweden
210,'752,Sweden
211,'756,Switzerland
211,'756,Switzerland
208,'762,Tajikistan
208,'762,Tajikistan
216,'764,Thailand
216,'764,Thailand
176,'626,Timor-Leste
176,'626,Timor-Leste
217,'768,Togo
217,'768,Togo
220,'780,Trinidad and Tobago
220,'780,Trinidad and Tobago
222,'788,Tunisia
222,'788,Tunisia
223,'792,Türkiye
223,'792,Türkiye
213,'795,Turkmenistan
213,'795,Turkmenistan
226,'800,Uganda
226,'800,Uganda
230,'804,Ukraine
230,'804,Ukraine
225,'784,United Arab Emirates
225,'784,United Arab Emirates
229,'826,United Kingdom of Great Britain and Northern Ireland
229,'826,United Kingdom of Great Britain and Northern Ireland
215,'834,United Republic of Tanzania
215,'834,United Republic of Tanzania
231,'840,United States of America
231,'840,United States of America
234,'858,Uruguay
234,'858,Uruguay
228,'810,USSR
228,'810,USSR
235,'860,Uzbekistan
235,'860,Uzbekistan
155,'548,Vanuatu
155,'548,Vanuatu
236,'862,Venezuela (Bolivarian Republic of)
236,'862,Venezuela (Bolivarian Republic of)
237,'704,Viet Nam
237,'704,Viet Nam
5105,'011,Western Africa
5105,'011,Western Africa
5305,'145,Western Asia
5305,'145,Western Asia
5404,'155,Western Europe
5404,'155,Western Europe
5000,'001,World
5000,'001,World
249,'887,Yemen
249,'887,Yemen
248,'890,Yugoslav SFR
248,'890,Yugoslav SFR
251,'894,Zambia
251,'894,Zambia
181,'716,Zimbabwe
181,'716,Zimbabwe
