 Item Code, CPC Code, Item
420,'01243,Broad beans and horse beans; green
423,'01241.01,String beans
426,'01251,Carrots and turnips
430,'01239.01,Okra
44,'0115,Barley
446,'01290.01,Green corn (maize)
449,'01270,Mushrooms and truffles
459,'01691,Chicory roots
461,'01356,Locust beans (carobs)
463,'01290.90,Other vegetables; fresh n.e.c.
486,'01312,Bananas
489,'01313,Plantains and cooking bananas
490,'01323,Oranges
495,'01324,Tangerines; mandarins; clementines
497,'01322,Lemons and limes
507,'01321,Pomelos and grapefruits
51,'24310.01,Beer of barley; malted
512,'01329,Other citrus fruit; n.e.c.
515,'01341,Apples
521,'01342.01,Pears
523,'01342.02,Quinces
526,'01343,Apricots
530,'01344.01,Sour cherries
531,'01344.02,Cherries
534,'01345,Peaches and nectarines
536,'01346,Plums and sloes
541,'01349.20,Other stone fruits
542,'01349.10,Other pome fruits
544,'01354,Strawberries
547,'01353.01,Raspberries
549,'01351.02,Gooseberries
550,'01351.01,Currants
552,'01355.01,Blueberries
554,'01355.02,Cranberries
558,'01355.90,Other berries and fruits of the genus vaccinium n.e.c.
56,'0112,Maize (corn)
560,'01330,Grapes
564,'24212.02,Wine
567,'01221,Watermelons
568,'01229,Cantaloupes and other melons
569,'01315,Figs
571,'01316,Mangoes; guavas and mangosteens
572,'01311,Avocados
574,'01318,Pineapples
577,'01314,Dates
587,'01359.01,Persimmons
591,'01359.02,Cashewapple
592,'01352,Kiwi fruit
60,'21691.02,Oil of maize
600,'01317,Papayas
603,'01319,Other tropical fruits; n.e.c.
619,'01359.90,Other fruits; n.e.c.
656,'01610,Coffee; green
661,'01640,Cocoa beans
667,'01620,Tea leaves
671,'01630,Maté leaves
675,'23913,Green tea (not fermented); black tea (fermented) and partly fermented tea; in immediate packings of a content not exceeding 3 kg
677,'01659,Hop cones
687,'01651,Pepper (Piper spp.); raw
689,'01652,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw
692,'01658,Vanilla; raw
693,'01655,Cinnamon and cinnamon-tree flowers; raw
698,'01656,Cloves (whole stems); raw
702,'01653,Nutmeg; mace; cardamoms; raw
71,'0116,Rye
