# "Смертность и продолжительность жизни населения СССР. 1926–1927. Таблицы смертности", Планхозгиз, Москва—Ленинград, 1930, стр. 126-122
# №64 1896-97 I вариант
# Таблица построена для православного населения 50 губерний б. Европейской России по данным об умерших в 1896—97 гг. и данным о родившихся за 1775—1897 гг.

##############################################################

# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни, вероятная продолжительность предстоящей жизни (до которой доживает половина группы)
# x, lx, dx, qx, px, Lx, Tx, ex, Vx

77	6976	850	0.12185	0.87815	6545	44711	6.41	4.91
78	6126	776	0.12667	0.87333	5732	38166	6.23	4.73
79	5350	705	0.13178	0.86822	4992	32434	6.06	4.56
80	4645	638	0.13735	0.86265	4320	27442	5.91	4.4
81	4007	571	0.1425	0.8575	3717	23122	5.77	4.25
82	3436	508	0.14785	0.85215	3177	19405	5.65	4.12
83	2928	449	0.15335	0.84665	2699	16228	5.54	4.02
84	2479	391	0.15772	0.84228	2279	13529	5.46	3.96
85	2088	335	0.16044	0.83956	1916	11250	5.39	3.92
86	1753	284	0.16201	0.83799	1607	9334	5.32	3.92
87	1469	240	0.16338	0.83662	1345	7727	5.26	3.96
88	1229	200	0.16273	0.83727	1126	6382	5.19	4.03
89	1029	165	0.16035	0.83965	943	5256	5.11	4.12
90	864	135	0.15625	0.84375	794	4313	4.99	4.15
91	729	112	0.15364	0.84636	671	3519	4.83	4.1
92	617	93	0.15073	0.84927	569	2848	4.62	3.95
93	524	81	0.15458	0.84542	483	2279	4.35	3.68
94	443	72	0.16253	0.83747	406	1796	4.05	3.36
95	371	66	0.1779	0.8221	338	1390	3.75	2.99
96	305	63	0.20656	0.79344	274	1052	3.45	2.65
97	242	57	0.23554	0.76446	213	778	3.21	2.35
98	185	50	0.27027	0.72973	159	565	3.05	2.07
99	135	40	0.2963	0.7037	114	406	3.01	1.76
100	95	36	0.37895	0.62105	76	292	3.07	1.61
