RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMI,TEF_ADO,TGF
1019,2000,Chihuahua,8,61853,ND,ND,11846,23,ND,ND,73.79,78.89,76.29,1550638,14.36,ND,ND,ND,ND,1538558,73699,3089196,94406,89675,146884,426125,806090,197477,140268,107012,518927,206604,79154,99128,94185,152832,435270,813733,199925,141278,110586,510775,213499,71263,193534,183860,299716,861395,1619823,397402,281546,217598,1029702,420103,150417,7.95,55.40,63.35,3.83,23.86,2.00,ND,ND,ND,ND,ND,ND,17.70,83.06,2.77
1020,2000,Ciudad de México,9,125578,ND,ND,38885,27,ND,ND,74.00,79.18,76.74,4196353,22.73,ND,ND,ND,ND,4509734,164463,8706087,234180,240817,403953,1257648,2519267,585854,422718,233124,1760827,467787,323457,238634,239941,396620,1204565,2360682,554255,397576,241871,1572244,481994,215702,472814,480758,800573,2462213,4879949,1140109,820294,474995,3333071,949781,539159,9.30,40.92,50.23,4.47,18.89,1.44,ND,ND,ND,ND,ND,ND,16.42,65.19,2.03
1021,2000,Durango,10,31281,ND,ND,7128,21,ND,ND,71.67,76.68,74.14,731124,14.71,ND,ND,ND,ND,748379,38409,1479503,50882,47487,76691,204235,371666,95926,66722,54543,233815,108615,41277,52607,48079,76349,194039,349762,90137,61867,56481,219449,112307,39272,103489,95566,153040,398274,721428,186063,128589,111024,453264,220922,80549,9.46,64.29,73.74,4.82,25.96,2.11,ND,ND,ND,ND,ND,ND,21.10,88.24,3.16
1022,2000,Guanajuato,11,105594,ND,ND,24085,20,ND,ND,70.86,75.78,73.35,2301646,13.51,ND,ND,ND,ND,2460745,129679,4762391,169586,161709,263018,706291,1242063,335343,234034,180973,731251,357499,130703,169557,154005,244126,616673,1098338,286327,196206,186416,659985,365923,113003,339143,315714,507144,1322964,2340401,621670,430240,367389,1391236,723422,243706,8.98,66.48,75.46,5.06,27.23,2.22,ND,ND,ND,ND,ND,ND,23.81,87.98,3.13
1023,2000,Guerrero,12,71809,ND,ND,18193,19,ND,ND,69.02,73.67,71.36,1535530,13.02,ND,ND,ND,ND,1606280,90002,3141810,116483,107041,171508,432177,758304,205352,140885,128087,461326,252466,87931,118678,105276,165164,395159,692221,184316,124428,131880,420854,259749,77119,235161,212317,336672,827336,1450525,389668,265313,259967,882180,512215,165050,9.65,74.13,83.78,5.79,28.65,2.29,ND,ND,ND,ND,ND,ND,26.09,91.86,3.67
1024,2000,Hidalgo,13,44235,ND,ND,12324,21,ND,ND,70.34,75.18,72.76,1119202,14.67,ND,ND,ND,ND,1172525,56559,2291727,80593,75368,121683,323228,590445,151867,105552,82431,369259,169228,66146,82271,74068,116806,290721,537278,134198,91460,85192,344921,174570,57150,162864,149436,238489,613949,1127723,286065,197012,167623,714180,343798,123296,9.28,63.27,72.55,5.38,24.68,1.93,ND,ND,ND,ND,ND,ND,24.47,84.80,2.92
1025,2000,Jalisco,14,136246,ND,ND,30893,22,ND,ND,72.52,77.52,75.03,3170004,15.48,ND,ND,ND,ND,3297802,167139,6467806,214738,207768,339468,932503,1694033,441112,309412,225110,1053004,444568,191544,220815,207759,333123,874257,1580108,407631,282267,233320,975417,459904,161444,435553,415527,672591,1806760,3274141,848743,591679,458430,2028421,904472,352988,9.20,59.44,68.64,4.78,25.84,2.11,ND,ND,ND,ND,ND,ND,20.26,86.16,2.99
1026,2000,México,15,270512,ND,ND,51880,22,ND,ND,72.23,77.19,74.73,6564326,11.38,ND,ND,ND,ND,6747321,322392,13311647,429604,416634,684747,1967130,3659190,921138,653025,455051,2244180,901397,288723,440927,419381,678726,1884101,3500522,871830,612485,469059,2136488,926606,230219,870531,836015,1363473,3851231,7159712,1792968,1265510,924110,4380668,1828003,518942,6.30,55.40,61.71,3.90,24.22,2.03,ND,ND,ND,ND,ND,ND,20.22,80.88,2.65
1027,2000,Michoacán,16,83781,ND,ND,23080,20,ND,ND,70.48,75.33,72.93,1970533,15.79,ND,ND,ND,ND,2099596,106861,4070129,148547,140600,227177,588049,1032967,280286,193709,150147,625347,306352,128060,149052,134613,212071,515284,915673,240313,162855,154700,565295,313918,114199,297599,275213,439248,1103333,1948640,520599,356564,304847,1190642,620270,242259,10.56,66.87,77.43,5.67,26.25,2.06,ND,ND,ND,ND,ND,ND,22.83,88.05,3.14
1028,2000,Morelos,17,27622,ND,ND,7835,23,ND,ND,71.71,76.64,74.19,766243,16.75,ND,ND,ND,ND,807830,35457,1574073,51402,49547,81000,224677,420132,105847,74394,53459,270324,107533,48486,52857,49080,78411,204477,382672,94892,65561,55123,247171,111351,41511,104259,98627,159411,429154,802804,200739,139955,108582,517495,218884,89997,9.51,56.77,66.28,4.98,22.53,1.75,ND,ND,ND,ND,ND,ND,20.12,79.56,2.57
1029,2000,Nayarit,18,16818,ND,ND,5066,22,ND,ND,71.50,76.40,73.87,468671,17.27,ND,ND,ND,ND,468945,21884,937616,31703,29897,48363,128123,234367,60495,42029,32259,150070,66163,28880,33161,30690,48831,124161,227288,57811,39670,33497,147960,68848,28166,64864,60587,97194,252284,461655,118306,81699,65756,298030,135011,57046,10.37,60.01,70.38,5.40,23.34,1.79,ND,ND,ND,ND,ND,ND,20.59,84.03,2.86
1030,2000,Nuevo León,19,75531,ND,ND,15169,24,ND,ND,74.19,79.29,76.71,1962825,16.14,ND,ND,ND,ND,1947402,90700,3910227,111580,111943,186522,562152,1062105,263551,188972,122411,683372,233513,106174,116142,115896,191375,572447,1078005,265309,189830,126969,682785,241923,89702,227722,227839,377897,1134599,2140110,528860,378802,249380,1366157,475436,195876,7.83,48.53,56.36,3.88,23.20,1.93,ND,ND,ND,ND,ND,ND,16.68,79.53,2.57
1031,2000,Oaxaca,20,69289,ND,ND,21885,20,ND,ND,68.95,73.59,71.30,1713709,15.39,ND,ND,ND,ND,1808875,91174,3522584,130035,118509,189342,477737,854540,225496,154663,135767,543162,278962,112136,132713,116734,182341,432275,771489,200225,134618,139267,489216,286322,98624,262748,235243,371683,910012,1626029,425721,289281,275034,1032378,565284,210760,10.85,70.50,81.35,6.21,25.88,1.97,ND,ND,ND,ND,ND,ND,26.21,89.26,3.30
1032,2000,Puebla,21,117461,ND,ND,28920,20,ND,ND,69.91,74.63,72.31,2533045,14.06,ND,ND,ND,ND,2675378,146381,5208423,182578,172166,278973,740686,1320502,351063,244256,196972,808683,387350,152850,185862,169785,269672,681125,1206456,317895,218008,202643,728376,397560,124453,368440,341951,548645,1421811,2526958,668958,462264,399615,1537059,784910,277303,9.37,66.66,76.03,5.55,28.10,2.26,ND,ND,ND,ND,ND,ND,24.43,89.91,3.38
1033,2000,Querétaro,22,32275,ND,ND,6116,21,ND,ND,71.78,76.68,74.24,705994,11.33,ND,ND,ND,ND,737147,38391,1443141,50538,48476,79141,217067,384316,102766,72101,53864,221397,106666,33194,50875,47174,75492,198287,356282,92207,63889,55329,208930,108860,27613,101413,95650,154633,415354,740598,194973,135990,109193,430327,215526,60807,7.19,63.46,70.65,4.24,26.60,2.24,ND,ND,ND,ND,ND,ND,22.20,85.64,2.97
1034,2000,Quintana Roo,23,20874,ND,ND,2852,21,ND,ND,72.01,76.68,74.22,464940,6.76,ND,ND,ND,ND,436159,23726,901099,28077,27275,45242,136618,241845,63738,45771,33736,130709,62608,10349,29570,28849,47517,143545,260646,66032,47364,34728,145763,64655,11470,57647,56124,92759,280163,502491,129770,93135,68464,276472,127263,21819,3.92,57.96,61.88,3.17,26.33,2.32,ND,ND,ND,ND,ND,ND,19.96,83.59,2.83
1035,2000,San Luis Potosí,24,49182,ND,ND,13164,21,ND,ND,70.44,75.27,72.84,1158297,15.40,ND,ND,ND,ND,1196265,62346,2354562,82519,76585,123344,323577,583627,152238,105479,88440,365384,176464,70509,84616,76122,120125,298790,541618,138284,94281,91091,343668,181804,66005,167135,152707,243469,622367,1125245,290522,199760,179531,709052,358268,136514,10.25,66.59,76.85,5.59,26.48,2.09,ND,ND,ND,ND,ND,ND,23.72,89.03,3.28
1036,2000,Sinaloa,25,49293,ND,ND,11786,22,ND,ND,72.21,77.26,74.65,1296351,14.72,ND,ND,ND,ND,1283656,61079,2580007,84530,80814,131646,359490,662033,169647,118815,88746,417377,177684,67674,88983,84343,135754,360361,656949,168537,117126,91844,414896,184789,64210,173513,165157,267400,719851,1318982,338184,235941,180590,832273,362473,131884,8.50,57.73,66.22,4.57,23.67,1.91,ND,ND,ND,ND,ND,ND,20.84,83.50,2.81
1037,2000,Sonora,26,45227,ND,ND,9451,23,ND,ND,72.98,78.04,75.42,1142669,14.81,ND,ND,ND,ND,1119575,54678,2262244,69092,66377,108810,310444,588290,145187,102754,76635,378906,148177,58073,72415,69303,112504,315932,598954,146223,103022,79655,385340,153817,54384,141507,135680,221314,626376,1187244,291410,205776,156290,764246,301994,112457,8.09,54.59,62.68,4.18,24.17,2.00,ND,ND,ND,ND,ND,ND,18.44,83.89,2.85
1038,2000,Tabasco,27,40287,ND,ND,8840,21,ND,ND,70.34,75.09,72.63,963048,10.87,ND,ND,ND,ND,969642,49127,1932690,68765,66324,108100,291035,510528,138438,96662,69840,290266,141384,38321,69968,65629,105070,273122,492983,127497,88056,71700,292368,144828,38756,138733,131953,213170,564157,1003511,265935,184718,141540,582634,286212,77077,6.72,61.81,68.53,4.57,25.42,2.08,ND,ND,ND,ND,ND,ND,23.70,83.89,2.85
1039,2000,Tamaulipas,28,53487,ND,ND,12349,24,ND,ND,72.74,77.80,75.23,1398284,16.04,ND,ND,ND,ND,1409081,65836,2807365,83571,82502,136673,402888,752047,189051,134880,92958,479536,177821,78091,86764,84301,137737,396194,741138,183472,130036,96551,468254,184427,68523,170335,166803,274410,799082,1493185,372523,264916,189509,947790,362248,146614,8.39,52.32,60.71,4.40,23.45,1.91,ND,ND,ND,ND,ND,ND,19.81,80.43,2.63
1040,2000,Tlaxcala,29,21926,ND,ND,4973,21,ND,ND,71.25,76.10,73.66,489069,14.24,ND,ND,ND,ND,504310,26899,993379,33818,32718,53513,146227,258847,69529,48734,36231,151959,70773,27367,34918,32927,52894,137992,243153,64830,44863,37395,141937,73197,24411,68736,65645,106407,284219,502000,134359,93597,73626,293896,143970,51778,8.96,62.87,71.83,5.01,27.08,2.21,ND,ND,ND,ND,ND,ND,21.66,87.83,3.11
1041,2000,Veracruz,30,121863,ND,ND,39740,22,ND,ND,69.97,74.80,72.39,3451802,16.08,ND,ND,ND,ND,3593928,161603,7045730,236859,222522,359930,969425,1824819,453427,316019,241081,1204440,496002,211252,244920,222836,352744,894250,1689363,411802,281894,248942,1122491,514218,184164,481779,445358,712674,1863675,3514182,865229,597913,490023,2326931,1010220,395416,9.44,58.70,68.13,5.64,22.94,1.73,ND,ND,ND,ND,ND,ND,24.30,82.51,2.73
1042,2000,Yucatán,31,30215,ND,ND,9873,23,ND,ND,70.41,75.22,72.76,846565,17.79,ND,ND,ND,ND,853760,40088,1700325,55568,53871,88083,240441,435910,114397,80185,56688,276485,114406,52802,57418,54900,88611,235725,425514,110844,77133,58700,267308,118106,49965,112986,108771,176694,476166,861424,225241,157318,115388,543793,232512,102767,10.08,56.63,66.71,5.81,23.58,1.78,ND,ND,ND,ND,ND,ND,23.66,83.30,2.79
1043,2000,Zacatecas,32,28683,ND,ND,7975,21,ND,ND,70.76,75.71,73.23,674005,16.95,ND,ND,ND,ND,708678,36658,1382683,49784,47062,75959,197409,347726,93575,64678,50320,211987,102396,44750,50459,45340,71255,173980,310212,80375,54460,52227,194521,106126,42897,100243,92402,147214,371389,657938,173950,119138,102547,406508,208522,87647,11.27,66.48,77.75,5.77,26.51,2.07,ND,ND,ND,ND,ND,ND,23.36,88.46,3.19
1044,2001,República Mexicana,0,1955940,-534974,1420966,475563,22,ND,576038,71.99,76.73,74.36,49576541,14.99,ND,41064,ND,-534974,51162722,2431503,100739263,3293979,3166443,5173306,14319173,26618705,6714761,4707898,3448816,16871276,6904413,2819154,3386249,3192164,5126980,13554116,25197970,6267848,4333032,3562218,15918034,7122328,2405572,6680228,6358607,10300286,27873289,51816675,12982609,9040930,7011034,32789310,14026741,5224726,8.61,57.45,66.06,4.72,24.14,1.94,-0.53,1.41,ND,ND,ND,-0.53,20.58,82.62,2.79
1045,2001,Aguascalientes,1,22456,ND,ND,3956,21,ND,ND,73.24,78.09,75.71,484268,12.14,ND,ND,ND,ND,508193,26412,992461,33607,31877,51926,142798,262213,66842,46793,37222,159494,72558,24568,34391,31785,50733,131169,240863,60552,41604,38402,146271,74683,20116,67998,63662,102659,273967,503076,127394,88397,75624,305765,147241,44684,7.71,63.49,71.19,3.99,26.61,2.26,ND,ND,ND,ND,ND,ND,20.39,87.36,3.06
1046,2001,Baja California,2,52026,ND,ND,8080,23,ND,ND,74.87,79.81,77.28,1306033,11.83,ND,ND,ND,ND,1264804,60106,2570837,75806,73661,121966,366364,690797,169615,121310,87706,427198,166634,53466,79756,77608,127324,378422,724060,172367,122651,91080,445357,173323,47370,155562,151269,249290,744786,1414857,341982,243961,178786,872555,339957,100836,6.23,52.72,58.95,3.14,23.38,2.02,ND,ND,ND,ND,ND,ND,17.18,80.01,2.61
1047,2001,Baja California Sur,3,9047,ND,ND,1578,23,ND,ND,74.15,79.23,76.54,232798,12.24,ND,ND,ND,ND,219686,10625,452484,13445,13067,21558,63472,120651,29441,20950,14821,74712,28763,9261,14404,14177,23233,67391,129067,30966,21910,15425,80838,30101,8852,27849,27244,44791,130863,249718,60407,42860,30246,155550,58864,18113,6.32,51.66,57.98,3.49,23.48,2.00,ND,ND,ND,ND,ND,ND,17.21,81.22,2.67
1048,2001,Campeche,4,12919,ND,ND,3509,22,ND,ND,70.75,75.22,72.88,360575,13.39,ND,ND,ND,ND,357555,16428,718130,24352,23291,37971,103532,187497,48763,34083,25050,112851,51139,16503,25180,23803,38231,100259,184889,46550,32122,25699,114582,52561,17380,49532,47094,76202,203791,372386,95313,66205,50749,227433,103700,33883,7.86,58.68,66.53,4.89,22.88,1.80,ND,ND,ND,ND,ND,ND,21.53,80.38,2.63
1049,2001,Coahuila,5,46943,ND,ND,9621,23,ND,ND,73.52,78.42,75.93,1194644,14.76,ND,ND,ND,ND,1193710,56564,2388354,72814,69941,114832,330360,629082,153565,108674,80916,407860,157334,62643,76267,73353,119200,331971,626144,153334,107487,83662,399865,162735,55492,149081,143294,234032,662331,1255226,306899,216161,164578,807725,320069,118135,8.04,54.43,62.47,4.03,23.68,1.97,ND,ND,ND,ND,ND,ND,18.52,82.69,2.75
1050,2001,Colima,6,9389,ND,ND,2628,23,ND,ND,72.50,77.38,74.87,275153,16.32,ND,ND,ND,ND,277437,12017,552590,17770,17374,28465,78909,148200,37099,26008,17537,94153,36077,15504,18562,17801,28675,75725,143256,35170,24296,18392,92260,37865,14182,36332,35175,57140,154634,291456,72269,50304,35929,186413,73942,29686,8.70,53.32,62.03,4.76,21.75,1.70,ND,ND,ND,ND,ND,ND,18.63,79.85,2.47
1051,2001,Chiapas,7,99017,ND,ND,20263,19,ND,ND,69.14,73.45,71.23,2034025,9.46,ND,ND,ND,ND,2048039,119280,4082064,151811,142117,229422,590317,1015041,280954,193649,164299,570816,324938,77135,155498,142469,226072,556763,972080,260603,177000,169045,565858,334402,78222,307309,284586,455494,1147080,1987121,541557,370649,333344,1136674,659340,155357,6.80,71.94,78.74,4.96,29.22,2.43,ND,ND,ND,ND,ND,ND,25.32,91.12,3.56
1052,2001,Chihuahua,8,60744,ND,ND,11945,23,ND,ND,74.02,79.01,76.47,1572320,14.76,ND,ND,ND,ND,1561180,72689,3133500,95896,91165,149182,428265,820116,197917,139900,106628,533925,208495,81917,100609,96158,155952,436854,827601,200196,140402,110305,525597,215537,73567,196505,187323,305134,865119,1647717,398113,280302,216933,1059522,424032,155484,8.08,54.73,62.81,3.81,23.20,1.94,ND,ND,ND,ND,ND,ND,17.75,82.09,2.71
1053,2001,Ciudad de México,9,123700,ND,ND,39230,27,ND,ND,74.32,79.34,76.98,4221831,23.70,ND,ND,ND,ND,4536836,162930,8758667,232915,239760,402191,1246979,2532847,578680,416249,229627,1798082,464211,333890,238069,241225,398918,1196168,2374917,549126,391433,238125,1607451,478488,223695,470984,480985,801109,2443147,4907764,1127806,807682,467752,3405533,942699,557585,9.53,40.22,49.75,4.48,18.60,1.41,ND,ND,ND,ND,ND,ND,16.41,64.87,2.02
1054,2001,Durango,10,30937,ND,ND,7123,21,ND,ND,72.08,76.89,74.45,738514,15.17,ND,ND,ND,ND,756459,38060,1494973,51178,47923,77431,205380,377784,96193,66685,54004,239991,108571,42467,52944,48802,77557,195091,355276,90402,61647,55956,224887,112322,40450,104122,96725,154988,400471,733060,186595,128332,109960,464878,220893,82917,9.58,63.18,72.76,4.76,25.46,2.07,ND,ND,ND,ND,ND,ND,20.22,87.70,3.10
1055,2001,Guanajuato,11,103508,ND,ND,24051,21,ND,ND,71.29,76.02,73.69,2327019,13.90,ND,ND,ND,ND,2493628,127559,4820647,170540,162857,264991,711006,1265982,336177,234043,179508,755978,358261,134589,170783,156146,247622,619615,1116015,286734,195258,184889,679268,366871,116162,341323,319003,512613,1330621,2381997,622911,429301,364397,1435246,725132,250751,9.07,65.22,74.29,4.99,26.46,2.15,ND,ND,ND,ND,ND,ND,22.81,86.95,3.04
1056,2001,Guerrero,12,70794,ND,ND,18155,19,ND,ND,69.54,73.96,71.77,1544763,13.55,ND,ND,ND,ND,1619457,88949,3164220,117219,107883,172867,434236,767749,205622,140638,126041,471147,251804,91282,119479,106668,167339,395834,698395,184019,123348,129690,428790,258957,79908,236698,214551,340206,830070,1466144,389641,263986,255731,899937,510761,171190,9.90,73.01,82.90,5.74,28.11,2.24,ND,ND,ND,ND,ND,ND,23.85,91.41,3.59
1057,2001,Hidalgo,13,43242,ND,ND,12346,21,ND,ND,70.78,75.43,73.12,1129653,15.22,ND,ND,ND,ND,1187496,55588,2317149,80753,76001,122901,326717,602999,153079,106179,81231,381418,168218,68149,82436,75008,118450,292479,545702,134716,91274,83972,354411,173540,58944,163189,151009,241351,619196,1148701,287795,197453,165203,735829,341758,127093,9.38,61.62,71.00,5.33,23.99,1.87,ND,ND,ND,ND,ND,ND,23.08,83.59,2.82
1058,2001,Jalisco,14,133458,ND,ND,30934,22,ND,ND,72.88,77.70,75.31,3214289,15.85,ND,ND,ND,ND,3344750,164392,6559039,215572,209207,342247,940276,1726690,443476,310436,224353,1086975,446191,196138,221952,210697,338417,882898,1611665,410741,283021,232490,1006031,461637,165405,437524,419904,680664,1823174,3338355,854217,593457,456843,2093006,907828,361543,9.23,58.25,67.49,4.72,25.06,2.03,ND,ND,ND,ND,ND,ND,19.84,84.44,2.90
1059,2001,México,15,270474,ND,ND,52479,23,ND,ND,72.54,77.33,74.96,6669403,11.74,ND,ND,ND,ND,6862200,322953,13531603,432591,420650,691662,1982264,3732847,924715,653703,454754,2321877,904617,299157,444674,426396,690568,1896810,3564403,875397,611225,469155,2205107,930800,239518,877265,847046,1382230,3879074,7297250,1800112,1264928,923909,4526984,1835417,538675,6.41,54.57,60.97,3.88,23.87,2.00,ND,ND,ND,ND,ND,ND,19.23,80.28,2.62
1060,2001,Michoacán,16,80608,ND,ND,22990,21,ND,ND,70.94,75.58,73.29,1972728,16.46,ND,ND,ND,ND,2106562,103598,4079290,147657,140387,227087,587664,1044014,279225,192525,146660,640367,302520,131532,148261,135188,213219,514022,922905,239057,161026,151052,577152,309907,117171,295918,275575,440306,1101686,1966919,518282,353551,297712,1217519,612427,248703,10.72,65.17,75.89,5.64,25.40,1.98,ND,ND,ND,ND,ND,ND,21.16,86.72,3.02
1061,2001,Morelos,17,26687,ND,ND,7886,23,ND,ND,72.10,76.85,74.50,772874,17.43,ND,ND,ND,ND,816440,34573,1589314,51689,49912,81597,225553,426407,105863,74178,52567,277914,107383,50222,53188,49804,79613,205314,387430,95063,65254,54246,253120,111157,42910,104877,99716,161210,430867,813837,200926,139432,106813,531034,218540,93132,9.68,55.54,65.23,4.96,21.75,1.68,ND,ND,ND,ND,ND,ND,18.70,79.66,2.48
1062,2001,Nayarit,18,16640,ND,ND,5051,22,ND,ND,71.96,76.67,74.24,472652,17.81,ND,ND,ND,ND,473491,21691,946143,31692,30041,48655,128818,238025,60640,42026,31849,154128,65741,29565,33188,31010,49401,124584,230404,57863,39472,33056,151562,68469,28954,64880,61051,98056,253402,468429,118503,81498,64905,305690,134210,58519,10.47,58.76,69.23,5.34,22.93,1.76,ND,ND,ND,ND,ND,ND,19.26,83.40,2.80
1063,2001,Nuevo León,19,75132,ND,ND,15311,25,ND,ND,74.50,79.46,76.95,2002502,16.49,ND,ND,ND,ND,1986659,90443,3989161,113129,113036,188184,565094,1083480,263548,188400,123979,706934,238139,109980,117895,117835,194487,575491,1100297,265526,188874,128519,706684,246741,93119,231024,230871,382671,1140585,2183777,529074,377274,252498,1413618,484880,203099,7.95,48.23,56.18,3.84,22.67,1.88,ND,ND,ND,ND,ND,ND,16.77,79.22,2.54
1064,2001,Oaxaca,20,68704,ND,ND,21924,20,ND,ND,69.47,73.91,71.72,1724751,16.00,ND,ND,ND,ND,1826296,90628,3551047,130570,119633,191315,482425,869282,227002,155320,133154,556210,276650,116012,133184,118323,185004,434745,781061,200913,134232,136642,498841,283944,101710,263754,237956,376319,917170,1650343,427915,289552,269796,1055051,560594,217722,11.04,69.01,80.05,6.17,25.52,1.93,ND,ND,ND,ND,ND,ND,23.98,88.69,3.24
1065,2001,Puebla,21,115643,ND,ND,28942,21,ND,ND,70.33,74.85,72.64,2564991,14.42,ND,ND,ND,ND,2715338,144585,5280329,183983,174194,282592,751108,1350282,354778,246380,195721,833370,388281,156965,187402,172630,274459,688069,1229085,320143,218314,201480,748700,398752,127711,371385,346824,557051,1439177,2579367,674921,464694,397201,1582070,787033,284676,9.42,65.35,74.77,5.48,27.38,2.19,ND,ND,ND,ND,ND,ND,22.54,88.95,3.27
1066,2001,Querétaro,22,32450,ND,ND,6195,21,ND,ND,72.15,76.89,74.54,724415,11.65,ND,ND,ND,ND,757387,38645,1481802,51408,49480,80851,221901,397936,104622,73251,53904,232749,107736,34494,51821,48468,77644,202492,368131,93848,64672,55449,218914,110098,28703,103229,97948,158495,424393,766067,198470,137923,109353,451663,217834,63197,7.21,61.93,69.14,4.18,26.08,2.19,ND,ND,ND,ND,ND,ND,21.39,84.45,2.90
1067,2001,Quintana Roo,23,20881,ND,ND,2923,22,ND,ND,72.54,77.00,74.55,486166,7.03,ND,ND,ND,ND,457363,23804,943529,29310,28577,47411,142628,255931,66298,47464,34231,140837,64620,11139,30892,30384,50058,149245,274566,68496,48822,35243,156061,66776,12158,60202,58961,97469,291873,530497,134794,96286,69474,296898,131396,23297,3.96,56.30,60.25,3.10,25.23,2.21,ND,ND,ND,ND,ND,ND,18.60,81.77,2.70
1068,2001,San Luis Potosí,24,47965,ND,ND,13150,21,ND,ND,70.92,75.55,73.22,1169959,15.96,ND,ND,ND,ND,1211138,61115,2381097,83063,77390,124737,326567,595169,153205,105858,87394,376196,176411,72967,85253,77384,122207,300786,550413,138894,94071,90034,352423,181818,68088,168316,154774,246944,627353,1145582,292099,199929,177428,728619,358229,141055,10.40,65.20,75.60,5.52,25.67,2.01,ND,ND,ND,ND,ND,ND,22.30,88.16,3.16
1069,2001,Sinaloa,25,48004,ND,ND,11807,22,ND,ND,72.60,77.49,74.97,1305803,15.36,ND,ND,ND,ND,1294971,59811,2600774,84671,81043,132003,359206,670319,168800,117840,87292,429668,176952,70098,89175,85034,136866,359489,664113,167451,115619,90374,425850,184165,66560,173846,166077,268869,718695,1334432,336251,233459,177666,855518,361117,136658,8.68,56.53,65.21,4.54,23.00,1.85,ND,ND,ND,ND,ND,ND,20.27,82.52,2.74
1070,2001,Sonora,26,44461,ND,ND,9506,23,ND,ND,73.35,78.26,75.72,1161653,15.24,ND,ND,ND,ND,1138593,53967,2300246,70036,67191,110064,312386,599031,145451,102578,76685,391092,149997,60292,73530,70638,114611,317824,609690,146526,102553,79772,397301,155922,56300,143566,137829,224675,630210,1208721,291977,205131,156457,788393,305919,116592,8.22,53.93,62.15,4.13,23.46,1.93,ND,ND,ND,ND,ND,ND,17.81,83.13,2.78
1071,2001,Tabasco,27,40024,ND,ND,8879,21,ND,ND,70.79,75.33,72.98,974702,11.36,ND,ND,ND,ND,983247,48903,1957949,68693,66560,108676,293717,521176,139214,97098,69074,300850,140676,40058,70048,66359,106433,275075,501388,128161,88087,71064,301374,144356,40239,138741,132919,215109,568792,1022564,267375,185185,140138,602224,285032,80297,6.86,60.34,67.20,4.53,24.98,2.04,ND,ND,ND,ND,ND,ND,21.89,83.25,2.79
1072,2001,Tamaulipas,28,52804,ND,ND,12449,24,ND,ND,73.09,77.97,75.50,1425712,16.45,ND,ND,ND,ND,1436884,65253,2862596,84832,83566,138353,406403,769090,189796,135009,93334,496451,180552,80948,88289,86114,140661,399886,758167,184525,129978,96824,484851,187337,70890,173121,169680,279014,806289,1527257,374321,264987,190158,981302,367889,151838,8.49,51.64,60.14,4.35,22.80,1.84,ND,ND,ND,ND,ND,ND,19.42,79.43,2.57
1073,2001,Tlaxcala,29,21856,ND,ND,5007,21,ND,ND,71.66,76.30,73.97,498817,14.51,ND,ND,ND,ND,515800,26863,1014617,34213,33152,54279,148851,266604,70441,49314,36352,158396,71513,28184,35379,33561,53943,139783,249171,65404,45022,37547,147393,74029,25068,69592,66713,108222,288634,515775,135845,94336,73899,305789,145542,53252,8.96,61.73,70.69,4.93,26.48,2.15,ND,ND,ND,ND,ND,ND,20.20,86.83,3.03
1074,2001,Veracruz,30,118020,ND,ND,39837,23,ND,ND,70.46,75.08,72.79,3474280,16.86,ND,ND,ND,ND,3628642,157857,7102922,237175,223842,362400,973610,1851477,454278,315720,237038,1235902,493072,219990,245465,225612,357525,895530,1705599,412130,280217,244912,1145488,511268,191594,482640,449454,719925,1869140,3557076,866408,595937,481950,2381390,1004340,411584,9.68,57.42,67.11,5.61,22.22,1.66,ND,ND,ND,ND,ND,ND,22.59,80.79,2.65
1075,2001,Yucatán,31,29443,ND,ND,9850,23,ND,ND,70.92,75.51,73.16,862146,18.22,ND,ND,ND,ND,869838,39293,1731984,56126,54698,89574,244999,447740,116149,81273,56304,286378,114882,54181,58087,56144,90799,240460,437016,112770,78115,58299,276430,118689,51217,114213,110842,180373,485459,884756,228919,159388,114603,562808,233571,105398,10.05,55.17,65.22,5.69,22.69,1.70,ND,ND,ND,ND,ND,ND,22.05,81.16,2.66
