RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMI,TEF_ADO,TGF
11,1960,República Mexicana,0,1260391,-85587,1174804,483907,17,ND,93994,54.73,57.49,56.09,18836697,7.43,ND,8407,ND,-85587,18841730,1744298,37678427,1282609,1165604,1875288,4764834,8331075,2270553,1560869,1844553,5119888,2969169,665849,1311035,1182155,1893880,4783499,8320016,2267741,1556016,1890034,4982422,3038561,580902,2593644,2347759,3769168,9548333,16651091,4538294,3116885,3734587,10102310,6007730,1246751,6.34,85.40,91.74,12.84,46.29,3.35,-0.23,3.12,ND,ND,ND,-0.23,92.75,149.96,6.63
12,1961,República Mexicana,0,1320601,-89009,1231592,477580,17,ND,95242,55.87,58.63,57.23,19442296,7.48,ND,6233,ND,-89009,19438832,1798181,38881128,1314455,1199900,1929748,4895808,8553698,2336077,1606229,1917475,5250965,3088621,694321,1343717,1217324,1949680,4912247,8543712,2333358,1601002,1965710,5116052,3162231,606883,2658172,2417224,3879428,9808055,17097410,4669435,3207231,3883185,10367017,6250852,1301204,6.45,86.27,92.72,12.28,46.25,3.40,-0.23,3.17,ND,ND,ND,-0.23,90.49,149.47,6.65
13,1962,República Mexicana,0,1366393,-91839,1274554,485049,17,ND,97124,56.23,58.91,57.56,20073383,7.54,ND,5285,ND,-91839,20060403,1851442,40133786,1345475,1232803,1984987,5031315,8785246,2405818,1653634,1993324,5384119,3222223,725643,1375781,1250981,2006322,5046410,8776858,2403856,1648515,2044443,5251793,3300646,635269,2721256,2483784,3991309,10077725,17562104,4809674,3302149,4037767,10635912,6522869,1360912,6.57,87.19,93.76,12.09,46.13,3.40,-0.23,3.18,ND,ND,ND,-0.23,88.29,148.37,6.67
14,1963,República Mexicana,0,1412448,-95271,1317177,492668,17,ND,100857,56.60,59.14,57.86,20726768,7.59,ND,5586,ND,-95271,20702568,1905116,41429336,1378610,1264663,2040319,5171092,9025000,2478496,1702840,2073795,5517583,3365872,757798,1410043,1283520,2062958,5185893,9018691,2477732,1698294,2127635,5387810,3449700,664612,2788653,2548183,4103277,10356985,18043691,4956228,3401134,4201430,10905393,6815572,1422410,6.69,88.16,94.85,11.89,45.98,3.41,-0.23,3.18,ND,ND,ND,-0.23,86.00,146.79,6.69
15,1964,República Mexicana,0,1469241,-100252,1368989,487949,17,ND,107392,57.31,60.23,58.75,21403485,7.65,ND,7140,ND,-100252,21368724,1957190,42772209,1419992,1296276,2093915,5314618,9272839,2552243,1754604,2156452,5653253,3515626,792572,1452607,1315671,2117353,5329452,9267648,2552497,1750815,2212782,5524869,3605172,696375,2872599,2611947,4211268,10644070,18540487,5104740,3505419,4369234,11178122,7120798,1488947,6.82,89.18,96.00,11.41,45.76,3.44,-0.23,3.20,ND,ND,ND,-0.23,83.71,144.94,6.68
16,1965,República Mexicana,0,1508865,-107972,1400893,493252,17,ND,117669,57.58,60.58,59.06,22099952,7.72,ND,9697,ND,-107972,22057142,2002117,44157094,1474145,1326939,2145501,5460506,9527087,2626072,1807510,2238380,5791756,3669477,830119,1508094,1346652,2169120,5475212,9521557,2626784,1804316,2296988,5663280,3764900,730267,2982239,2673591,4314621,10935718,19048644,5252856,3611826,4535368,11455036,7434377,1560386,6.97,90.24,97.21,11.17,45.34,3.42,-0.24,3.17,ND,ND,ND,-0.24,81.62,142.71,6.66
17,1966,República Mexicana,0,1548772,-117713,1431059,497874,16,ND,129902,57.86,61.05,59.43,22810764,7.79,ND,12189,ND,-117713,22762350,2046646,45573114,1542051,1359451,2198703,5610572,9789353,2699332,1860080,2318981,5933071,3823787,868404,1578089,1379203,2221891,5624562,9782037,2699692,1857004,2379638,5803612,3924507,764455,3120140,2738654,4420594,11235134,19571390,5399024,3717084,4698619,11736683,7748294,1632859,7.11,91.28,98.39,10.92,44.91,3.40,-0.26,3.14,ND,ND,ND,-0.26,79.80,140.04,6.63
18,1967,República Mexicana,0,1600151,-129196,1470955,495161,16,ND,143542,58.45,61.88,60.13,23537327,7.86,ND,14346,ND,-129196,23486842,2095312,47024169,1618339,1399828,2259220,5769697,10064483,2772128,1912736,2398774,6079031,3977672,908493,1657087,1419357,2281331,5781714,10053248,2770912,1908938,2461124,5947477,4082802,799905,3275426,2819185,4540551,11551411,20117731,5543040,3821674,4859898,12026508,8060474,1708398,7.25,92.20,99.44,10.53,44.56,3.40,-0.27,3.13,ND,ND,ND,-0.27,78.12,137.15,6.61
19,1968,República Mexicana,0,1638377,-142080,1496297,509190,16,ND,158236,58.38,61.81,60.07,24278984,7.92,ND,16156,ND,-142080,24228824,2147567,48507808,1695605,1452570,2331064,5940634,10354786,2843168,1964674,2476259,6229784,4133098,948640,1737133,1471697,2351633,5949579,10338166,2839158,1959222,2540020,6095587,4242242,835094,3432738,2924267,4682697,11890213,20692952,5682326,3923896,5016279,12325371,8375340,1783734,7.37,92.95,100.32,10.50,44.27,3.38,-0.29,3.08,ND,ND,ND,-0.29,76.34,134.64,6.59
20,1969,República Mexicana,0,1691331,-156919,1534412,505747,16,ND,174583,58.92,62.60,60.73,25035327,7.98,ND,17664,ND,-156919,24987819,2197078,50023146,1768744,1518729,2418355,6126338,10663288,2913680,2014054,2549461,6385927,4291054,988289,1812684,1537846,2437432,6131327,10640157,2905471,2005885,2614498,6248813,4403677,869629,3581428,3056575,4855787,12257665,21303445,5819151,4019939,5163959,12634740,8694731,1857918,7.46,93.49,100.96,10.11,43.92,3.38,-0.31,3.07,ND,ND,ND,-0.31,74.32,133.32,6.56
