# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                89      2814    531     0.18871 0.81129 2541    11464   4.07
                                                                        
                90      2283    451     0.19734 0.80266 2052    8923    3.91
                91      1832    378     0.20611 0.79389 1637    6871    3.75
                92      1454    313     0.21509 0.78491 1293    5234    3.60
                93      1141    256     0.22432 0.77568 1009    3941    3.45
                94      885     207     0.23384 0.76616 778     2932    3.31
                                                                        
                95      678     165     0.24369 0.75631 593     2154    3.18
                96      513     130     0.25390 0.74610 445     1561    3.04
                97      383     101     0.26452 0.73548 330     1116    2.91
                98      282     78      0.27556 0.72444 241     786     2.79
                99      204     58      0.28707 0.71293 174     545     2.66
                100     146     44      0.29905 0.70095 123     371     2.55
