# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

		89	5001	872	0.17436	0.82564	4551	22706	4.54
									
		90	4129	734	0.17772	0.82228	3751	18155	4.40
		91	3395	620	0.18253	0.81747	3077	14404	4.24
		92	2775	519	0.18719	0.81281	2508	11327	4.08
		93	2256	434	0.19257	0.80743	2032	8819	3.91
		94	1822	363	0.19946	0.80054	1636	6787	3.73
									
		95	1459	304	0.20835	0.79165	1303	5151	3.53
		96	1155	254	0.21966	0.78034	1025	3848	3.33
		97	901	210	0.23380	0.76620	793	2823	3.13
		98	691	174	0.25107	0.74893	601	2030	2.94
		99	517	140	0.27200	0.72800	444	1429	2.76
		100	377	111	0.29589	0.70411	318	985	2.62
