_id	_id		int
RENGLON	Renglón	Identificador único de caso (llave primaria).	numeric
ANIO	Año	Año.	numeric
ENTIDAD	Entidad	Nombre de la entidad federativa.	text
CVE_GEO	Clave geográfica	Clave geográfica (INEGI 2020) de entidad federativa.	numeric
SEXO	Sexo	Sexo.	text
EDAD	Edad	Edad.	numeric
DEFUNCIONES	Defunciones	Número de defunciones.	numeric
ENTIDAD_FEDERATIVA	Entidad federativa	Nombre de la entidad federativa.	text
FECHA	Fecha	Fecha.	timestamp
