"территория","год","цск.чн.горсел.мж","цск.чн.горсел.м","цск.чн.горсел.ж","цск.чн.гор.мж","цск.чн.гор.м","цск.чн.гор.ж","цск.чн.сел.мж","цск.чн.сел.м","цск.чн.сел.ж","угви.чн.горсел.мж","угви.чн.горсел.м","угви.чн.горсел.ж","угви.чн.гор.мж","угви.чн.гор.м","угви.чн.гор.ж","угви.чн.сел.мж","угви.чн.сел.м","угви.чн.сел.ж","угви.чр.горсел.мж","угви.чр.горсел.м","угви.чр.горсел.ж","угви.чр.гор.мж","угви.чр.гор.м","угви.чр.гор.ж","угви.чр.сел.мж","угви.чр.сел.м","угви.чр.сел.ж","угви.чс.горсел.мж","угви.чс.горсел.м","угви.чс.горсел.ж","угви.чс.гор.мж","угви.чс.гор.м","угви.чс.гор.ж","угви.чс.сел.мж","угви.чс.сел.м","угви.чс.сел.ж","мигр","стаб"
"Акмолинская обл.","1896","","","","","","","","","","556302","","","","","","","","","17731","","","","","","","","","12299","","","","","","","","","40610",""
"Акмолинская обл.","1897","","","","","","","","","","653185","","","","","","","","","23631","","","","","","","","","15112","","","","","","","","","13046",""
"Акмолинская обл.","1898","","","","","","","","","","688306","","","","","","","","","21539","","","","","","","","","13435","","","","","","","","","18758",""
"Акмолинская обл.","1899","","","","","","","","","","763626","","","","","","","","","29233","","","","","","","","","19173","","","","","","","","","23115",""
"Акмолинская обл.","1900","","","","","","","","","","734729","","","","","","","","","30761","","","","","","","","","20984","","","","","","","","","18766",""
"Акмолинская обл.","1901","","","","","","","","","","766126","","","","","","","","","30052","","","","","","","","","17229","","","","","","","","","4901",""
"Акмолинская обл.","1902","","","","","","","","","","800936","","","","","","","","","28790","","","4560","2408","2152","24230","13060","11170","15891","","","3415","1976","1439","12476","6665","5811","5346",""
"Акмолинская обл.","1903","","","","","","","","","","929531","","","94976","49779","45197","834555","443664","390891","29791","","","3907","2025","1882","25884","13517","12367","16224","","","2322","1283","1039","13902","7377","6525","6315",""
"Акмолинская обл.","1904","763400","398300","365100","83400","43300","40100","680000","355000","325000","832517","","","109279","56601","52678","723238","381501","341737","33169","","","5278","2742","2536","27891","14577","13314","23660","","","4171","2253","1918","19489","10080","9409","4077",""
"Акмолинская обл.","1905","778200","406200","372000","85600","44600","41000","692600","361600","331000","892484","","","109494","56097","53397","782990","412590","370400","28487","","","5654","3127","2527","22833","13017","9816","19559","","","4317","2242","2075","15242","8718","6524","10182",""
"Акмолинская обл.","1906","787800","411300","376500","86700","45100","41600","701100","366200","334900","934612","","","117078","60009","57069","817534","429213","388321","40153","","","6863","3499","3364","33290","17289","16001","24519","","","5390","3015","2375","19129","9959","9170","54222",""
"Акмолинская обл.","1907","797700","416400","381300","87800","45600","42200","709900","370800","339100","956393","","","127689","68206","59483","828704","434719","393985","41307","","","7636","3887","3749","33671","17006","16665","25193","","","5997","3170","2827","19196","9741","9455","64087",""
"Акмолинская обл.","1908","809700","422500","387200","89600","46500","43100","720100","376000","344100","988005","","","142439","75732","66707","845566","444666","400900","42154","","","7817","3988","3829","34337","17430","16907","25326","","","6245","3238","3007","19081","9629","9452","122489",""
"Акмолинская обл.","1909","979200","508000","471200","144400","74400","70000","834800","433600","401200","1121002","","","146530","73165","73365","974472","509576","464896","45660","","","7917","4042","3875","37743","19425","18318","26162","","","6269","3246","3023","19893","9921","9972","84450",""
"Акмолинская обл.","1910","1047300","543000","504300","153800","79700","74100","893500","463300","430200","1217834","","","152888","76492","76396","1064946","553467","511479","61638","","","9096","4666","4430","52542","27513","25029","39376","","","6797","3663","3134","32579","16922","15657","29216","*"
"Акмолинская обл.","1911","1064000","550700","513300","156300","81000","75300","907700","469700","438000","1443721","","","192702","99310","93392","1251019","652735","598284","62539","","","7109","3584","3525","55430","28737","26693","37060","","","4862","2693","2169","32198","17139","15059","2661","*"
"Акмолинская обл.","1912","1454100","758700","695400","197800","102700","95100","1256300","656000","600300","1469401","","","196175","88587","107588","1273226","658842","614384","62641","","","7137","3603","3534","55504","28774","26730","37122","","","4882","2704","2178","32240","17176","15064","6623","*"
"Акмолинская обл.","1913","1491900","778100","713800","204600","106300","98300","1287300","671800","615500","1495669","","","199035","99294","99741","1296634","672307","624327","63079","","","7317","3693","3624","55762","28881","26881","37525","","","5051","2537","2514","32474","17245","15229","29020","*"
"Акмолинская обл.","1914","1523700","793800","729900","206600","107200","99400","1317100","686600","630500","1525543","","","204346","101891","102455","1321197","683192","638005","66740","","","6172","3128","3044","60568","31244","29324","36604","","","4558","2488","2070","32046","16664","15382","38707","*"
"Амурская обл.","1896","","","","","","","","","","81356","","","","","","","","","3820","","","","","","","","","2194","","","","","","","","","1869",""
"Амурская обл.","1897","","","","","","","","","","91156","","","","","","","","","4856","","","","","","","","","2393","","","","","","","","","1317",""
"Амурская обл.","1898","","","","","","","","","","92296","","","","","","","","","3951","","","","","","","","","2042","","","","","","","","","3930",""
"Амурская обл.","1899","","","","","","","","","","93784","","","","","","","","","4681","","","","","","","","","2825","","","","","","","","","1377",""
"Амурская обл.","1900","","","","","","","","","","96103","","","","","","","","","4983","","","","","","","","","3412","","","","","","","","","6725",""
"Амурская обл.","1901","","","","","","","","","","101637","","","","","","","","","5317","","","","","","","","","3112","","","","","","","","","3163",""
"Амурская обл.","1902","","","","","","","","","","104165","","","","","","","","","6272","","","2078","1032","1046","4194","2150","2044","3476","","","1509","897","612","1967","1018","949","7421",""
"Амурская обл.","1903","","","","","","","","","","111351","","","38987","21018","17969","72364","42123","30241","6126","","","1772","913","859","4354","2269","2085","2861","","","1014","514","500","1847","1020","827","3682",""
"Амурская обл.","1904","139000","76900","62100","36000","20900","15100","103000","56000","47000","124271","","","43387","24992","18395","80884","48901","31983","6918","","","2054","1084","970","4864","2527","2337","3056","","","1221","727","494","1835","1005","830","-199",""
"Амурская обл.","1905","143700","79300","64400","36800","21300","15500","106900","58000","48900","126688","","","36559","21239","15320","90129","55249","34880","6630","","","1829","1002","827","4801","2658","2143","3505","","","1008","553","455","2497","1355","1142","22",""
"Амурская обл.","1906","148700","81800","66900","37700","21700","16000","111000","60100","50900","130032","","","37886","20596","17290","92146","55908","36238","7160","","","2288","1110","1178","4872","2528","2344","3370","","","1438","840","598","1932","1021","911","4590",""
"Амурская обл.","1907","154200","84700","69500","39000","22400","16600","115200","62300","52900","134166","","","39629","22439","17190","94537","57945","36592","7945","","","2292","1152","1140","5653","2933","2720","6444","","","2105","1226","879","4339","2295","2044","16910",""
"Амурская обл.","1908","160400","87900","72500","40500","23200","17300","119900","64700","55200","154636","","","56415","35207","21208","98221","57212","41009","8704","","","2871","1427","1444","5833","2921","2912","4721","","","2317","1206","1111","2404","1327","1077","8946",""
"Амурская обл.","1909","195200","114900","80300","60900","38000","22900","134300","76900","57400","157272","","","56414","35207","21207","100858","59592","41266","8351","","","2223","1108","1115","6128","3036","3092","5226","","","1580","898","682","3646","1871","1775","22417",""
"Амурская обл.","1910","217700","127400","90300","64800","40200","24600","152900","87200","65700","198860","","","68064","42530","25534","130796","72392","58404","10730","","","3017","1515","1502","7713","3944","3769","6747","","","2216","1314","902","4531","2433","2098","17794",""
"Амурская обл.","1911","230200","133800","96400","66000","40800","25200","164200","93000","71200","198511","","","68714","42299","26415","129797","78081","51716","12455","","","2832","1438","1394","9623","5127","4496","6645","","","1731","1002","729","4914","2791","2123","4235",""
"Амурская обл.","1912","230200","127500","102700","67300","41400","25900","162900","86100","76800","268743","","","75566","46517","29049","193177","116208","76969","12475","","","3980","2021","1959","8495","4526","3969","7183","","","3045","1763","1282","4138","2350","1788","6156",""
"Амурская обл.","1913","241100","133100","108000","68900","42200","26700","172200","90900","81300","276914","","","75458","46450","29008","201456","121188","80268","12741","","","3130","1589","1541","9611","5121","4490","5386","","","1674","969","705","3712","2108","1604","7715",""
"Амурская обл.","1914","250400","137800","112600","69300","42400","26900","181100","95400","85700","321794","","","75653","46570","29083","246141","148069","98072","16557","","","4297","2181","2116","12260","6532","5728","7725","","","2264","1311","953","5461","3101","2360","14699",""
"Архангельская","1896","","","","","","","","","","359206","","","","","","","","","13568","","","","","","","","","9720","","","","","","","","","0",""
"Архангельская","1897","","","","","","","","","","356752","","","","","","","","","14759","","","","","","","","","8506","","","","","","","","","7",""
"Архангельская","1898","","","","","","","","","","358362","","","","","","","","","14849","","","","","","","","","8254","","","","","","","","","7",""
"Архангельская","1899","","","","","","","","","","360802","","","","","","","","","15171","","","","","","","","","8640","","","","","","","","","5",""
"Архангельская","1900","","","","","","","","","","365444","","","","","","","","","14533","","","","","","","","","12090","","","","","","","","","1",""
"Архангельская","1901","","","","","","","","","","367887","","","","","","","","","15403","","","","","","","","","13674","","","","","","","","","4",""
"Архангельская","1902","","","","","","","","","","369616","","","","","","","","","16755","","","1370","694","676","15385","7872","7513","10647","","","1077","593","484","9570","5044","4526","-2",""
"Архангельская","1903","","","","","","","","","","369751","","","32286","15817","16469","337465","159310","178155","16031","","","1371","675","696","14660","7452","7208","9431","","","989","534","455","8442","4391","4051","1",""
"Архангельская","1904","383300","182200","201100","33300","16200","17100","350000","166000","184000","376126","","","32568","15913","16655","343558","162289","181269","16712","","","1461","735","726","15251","7678","7573","9960","","","1049","590","459","8911","4644","4267","-1",""
"Архангельская","1905","389800","185200","204600","33600","16300","17300","356200","168900","187300","389492","","","33364","16202","17162","356128","168360","187768","15277","","","1400","709","691","13877","7188","6689","9835","","","1086","605","481","8749","4552","4197","-7",""
"Архангельская","1906","394900","187800","207100","33700","16300","17400","361200","171500","189700","389492","","","33848","16430","17418","355644","168132","187512","16969","","","1487","770","717","15482","7854","7628","9962","","","1015","575","440","8947","4738","4209","-15",""
"Архангельская","1907","401700","191100","210600","33900","16400","17500","367800","174700","193100","394934","","","33672","16303","17369","361262","170999","190263","18134","","","1720","912","808","16414","8422","7992","9799","","","1230","718","512","8569","4534","4035","0",""
"Архангельская","1908","413500","197300","216200","36800","17800","19000","376700","179500","197200","401941","","","34144","16498","17646","367797","174115","193682","17320","","","1634","830","804","15686","7996","7690","11186","","","1546","887","659","9640","5063","4577","7",""
"Архангельская","1909","426200","203800","222400","41100","20100","21000","385100","183700","201400","410435","","","34636","16694","17942","375799","178080","197719","18444","","","1814","907","907","16630","8623","8007","12280","","","1603","922","681","10677","5505","5172","4",""
"Архангельская","1910","437800","209600","228200","44400","21800","22600","393400","187800","205600","416569","","","34724","16637","18087","381845","181013","200832","19177","","","1945","998","947","17232","8745","8487","11405","","","1318","733","585","10087","5162","4925","-9",""
"Архангельская","1911","449400","215600","233800","47600","23400","24200","401800","192200","209600","436624","","","48805","26509","22296","387819","184125","203694","19639","","","2037","1055","982","17602","8945","8657","11127","","","1379","797","582","9748","5131","4617","3",""
"Архангельская","1912","462500","222300","240200","52600","25900","26700","409900","196400","213500","448167","","","51347","26542","24805","396820","190430","206390","20130","","","2086","1037","1049","18044","9177","8867","12003","","","1597","925","672","10406","5375","5031","3",""
"Архангельская","1913","473500","228200","245300","55700","27600","28100","417800","200600","217200","458990","","","54307","28257","26050","404683","193771","210912","20075","","","2018","1058","960","18057","9113","8944","12592","","","1672","989","683","10920","5699","5221","1",""
"Архангельская","1914","483500","233300","250200","58000","28900","29100","425500","204400","221100","469845","","","57382","29291","28091","412463","197689","214774","20696","","","2149","1093","1056","18547","9478","9069","13587","","","1763","1011","752","11824","6124","5700","-5",""
"Астраханская","1896","","","","","","","","","","979538","","","","","","","","","33279","","","","","","","","","22014","","","","","","","","","-40",""
"Астраханская","1897","","","","","","","","","","993316","","","","","","","","","34294","","","","","","","","","21379","","","","","","","","","19",""
"Астраханская","1898","","","","","","","","","","978208","","","","","","","","","36582","","","","","","","","","22716","","","","","","","","","2",""
"Астраханская","1899","","","","","","","","","","981777","","","","","","","","","34185","","","","","","","","","21487","","","","","","","","","-30",""
"Астраханская","1900","","","","","","","","","","1009138","","","","","","","","","36582","","","","","","","","","23345","","","","","","","","","-27",""
"Астраханская","1901","","","","","","","","","","1017199","","","","","","","","","36788","","","","","","","","","23481","","","","","","","","","24",""
"Астраханская","1902","","","","","","","","","","1064318","","","","","","","","","38229","","","7193","3654","3539","31036","15904","15132","28639","","","6716","3736","2980","21923","11456","10467","-9",""
"Астраханская","1903","","","","","","","","","","1062937","","","165189","84802","80387","897748","462309","435439","38816","","","7092","3571","3521","31724","16301","15423","23524","","","5223","2846","2377","18301","9519","8782","-5",""
"Астраханская","1904","1125700","574700","551000","175700","89700","86000","950000","485000","465000","1062937","","","165189","84802","80387","897748","462309","435439","43645","","","7039","3596","3443","36606","18563","18043","25980","","","5949","3248","2701","20031","10593","9438","-25",""
"Астраханская","1905","1146700","585000","561700","176900","90100","86800","969800","494900","474900","1156217","","","179693","90926","88767","976524","501546","474978","39318","","","7034","3612","3422","32284","16714","15570","28600","","","6473","3554","2919","22127","11577","10550","-81",""
"Астраханская","1906","1155400","589300","566100","177500","90200","87300","977900","499100","478800","1169448","","","158062","80210","77852","1011386","519270","492116","45406","","","7377","3756","3621","38029","19540","18489","29793","","","6354","3461","2893","23439","12291","11148","-305",""
"Астраханская","1907","1177500","600600","576900","178700","90500","88200","998800","510100","488700","1191197","","","160572","81459","79113","1030625","533157","497468","46540","","","7177","3647","3530","39363","20306","19057","33399","","","8080","4625","3455","25319","13872","11447","-478",""
"Астраханская","1908","1214500","621000","593500","182300","91700","90600","1032200","529300","502900","1207649","","","162513","82891","79622","1045136","539102","506034","47797","","","7122","3623","3499","40675","21342","19333","33915","","","7084","4091","2993","26831","14403","12428","17",""
"Астраханская","1909","1230300","628800","601500","183200","92000","91200","1047100","536800","510300","1241432","","","169304","85781","83523","1072128","553876","518252","47704","","","7275","3772","3503","40429","20935","19494","33425","","","6733","3937","2796","26692","14285","12407","-52",""
"Астраханская","1910","1246000","636800","609200","183900","92200","91700","1062100","544600","517500","1281626","","","176539","89505","87034","1105087","568050","537037","48528","","","8691","4661","4030","39837","20034","19803","32235","","","6349","3204","3145","25886","12026","13860","-74",""
"Астраханская","1911","1262000","644900","617100","184600","92600","92000","1077400","552300","525100","1307313","","","177227","89726","87501","1130086","620050","510036","47137","","","7233","3759","3474","39904","20625","19279","30872","","","5794","3255","2539","25078","13271","11807","-63",""
"Астраханская","1912","1279400","653700","625700","185500","93100","92400","1093900","560600","533300","1336872","","","181877","92114","89763","1154995","591145","563850","48755","","","7496","3854","3642","41259","21255","20004","28647","","","5807","3262","2545","22840","12194","10646","-653",""
"Астраханская","1913","1297300","662700","634600","186600","93600","93000","1110700","569100","541600","1336343","","","188812","95590","93222","1147531","589225","558306","50086","","","7367","3735","3632","42719","22049","20670","30059","","","6230","3431","2799","23829","12626","11203","-12",""
"Астраханская","1914","1315900","671800","644100","187900","94300","93600","1128000","577500","550500","1347837","","","196693","99438","97255","1151144","591946","559198","52352","","","7967","4054","3913","44385","23014","21371","29166","","","6032","3347","2685","23134","12334","10800","2",""
"Бакинская","1896","","","","","","","","","","817571","","","","","","","","","18040","","","","","","","","","14331","","","","","","","","","-12",""
"Бакинская","1897","","","","","","","","","","844798","","","","","","","","","20222","","","","","","","","","14622","","","","","","","","","33",""
"Бакинская","1898","","","","","","","","","","882539","","","","","","","","","20107","","","","","","","","","14435","","","","","","","","","20",""
"Бакинская","1899","","","","","","","","","","912852","","","","","","","","","24466","","","","","","","","","19372","","","","","","","","","-8",""
"Бакинская","1900","","","","","","","","","","943220","","","","","","","","","28968","","","","","","","","","18186","","","","","","","","","-46",""
"Бакинская","1901","","","","","","","","","","977624","","","","","","","","","28616","","","","","","","","","17527","","","","","","","","","-24",""
"Бакинская","1902","","","","","","","","","","998560","","","","","","","","","25656","","","5310","2761","2549","20346","10967","9379","18960","","","4633","2543","2090","14327","8150","6177","-62",""
"Бакинская","1903","","","","","","","","","","1002461","","","251792","145918","105874","750669","424388","326281","28650","","","5413","2804","2609","23237","12601","10636","14972","","","4407","2628","1779","10565","6113","4452","-114",""
"Бакинская","1904","","","","","","","","","","1015833","","","244002","135705","108297","771831","436326","335505","26831","","","5769","3127","2642","21062","12595","8467","17991","","","3626","1964","1662","14365","7778","6587","-183",""
"Бакинская","1905","","","","","","","","","","1059968","","","293005","177701","115304","766963","436036","330927","30426","","","5525","2916","2609","24901","12623","12278","21661","","","5111","2847","2264","16550","9989","6561","-294",""
"Бакинская","1906","","","","","","","","","","1123136","","","272361","166165","106196","850775","475857","374918","22668","","","3947","2014","1933","18721","10036","8685","18832","","","4282","2421","1861","14550","8250","6300","-437",""
"Бакинская","1907","","","","","","","","","","1078250","","","284943","172379","112564","793307","449901","343406","26891","","","909","519","390","25982","14224","11758","19453","","","4848","2869","1979","14605","7761","6844","-210",""
"Бакинская","1908","","","","","","","","","","974526","","","178757","100878","77879","795769","438169","357600","21394","","","1847","1031","816","19547","10289","9258","16422","","","1524","799","725","14898","8394","6504","-97",""
"Бакинская","1909","","","","","","","","","","763706","","","77322","41417","35905","686384","378873","307511","19209","","","2025","1230","795","17184","9157","8027","14158","","","1380","774","606","12778","7089","5689","-63",""
"Бакинская","1910","","","","","","","","","","758127","","","80045","42729","37316","678082","371334","306748","17273","","","1340","801","539","15933","8377","7556","16585","","","1073","575","498","15512","8773","6739","-179",""
"Бакинская","1911","","","","","","","","","","770562","","","83672","45184","38488","686890","368323","318567","21806","","","1723","982","741","20083","10748","9335","15170","","","970","580","390","14200","7496","6704","-107",""
"Бакинская","1912","","","","","","","","","","791563","","","89650","47658","41992","701913","379142","322771","19577","","","1310","755","555","18267","9813","8454","14407","","","921","514","407","13486","7374","6112","-119",""
"Бакинская","1913","","","","","","","","","","805402","","","92188","49010","43178","713214","386145","327069","21516","","","1310","739","571","20206","10849","9357","15397","","","923","543","380","14474","7933","6541","-174",""
"Бакинская","1914","","","","","","","","","","819378","","","91716","47616","44100","727662","393016","334646","20509","","","1572","901","671","18937","10010","8927","14405","","","1288","766","522","13117","7126","5991","-150",""
"Батумская","1903","","","","","","","","","","","","","","","","","","","3874","","","","","","3874","1973","1901","2477","","","","","","2477","1366","1111","0",""
"Батумская","1904","152900","85800","67100","29900","20800","9100","123000","65000","58000","161591","","","","","","161591","87617","73974","4058","","","948","","","3110","","","2132","","","540","","","1592","","","0",""
"Батумская","1905","155800","84100","71700","38400","25500","12900","117400","58600","58800","153298","","","30298","","","123000","65000","58000","2860","","","1195","","","1665","","","1841","","","864","","","977","","","0",""
"Батумская","1906","157300","84600","72700","38800","25500","13300","118500","59100","59400","161202","","","41078","","","120124","","","4285","","","1465","792","673","2820","1514","1306","2352","","","814","474","340","1538","914","624","0",""
"Батумская","1907","158600","85200","73400","39400","25700","13700","119200","59500","59700","165332","","","42279","23352","18927","123053","68040","55013","3808","","","857","425","432","2951","1512","1439","2349","","","524","258","266","1825","963","862","0",""
"Батумская","1908","160500","86100","74400","40100","26000","14100","120400","60100","60300","156465","","","31545","15770","15775","124920","62826","62094","4229","","","860","459","401","3369","1775","1594","2782","","","521","265","256","2261","1290","971","0",""
"Батумская","1909","162300","87100","75200","40700","26300","14400","121600","60800","60800","159434","","","31884","17631","14253","127550","64321","63229","4536","","","1096","576","520","3440","1656","1784","3234","","","889","542","347","2345","1199","1146","0",""
"Батумская","1910","164300","88200","76100","41500","26700","14800","122800","61500","61300","160009","","","39630","22045","17585","120379","61983","58396","4577","","","1088","541","547","3489","1865","1624","2774","","","564","376","188","2210","1120","1090","0",""
"Батумская","1911","166300","89200","77100","42200","27000","15200","124100","62200","61900","165697","","","40567","22566","18001","125130","66194","58936","3821","","","712","354","358","3109","1611","1498","2635","","","609","406","203","2026","1057","969","0",""
"Батумская","1912","168500","90400","78100","43000","27300","15700","125500","63100","62400","166552","","","38410","21366","17044","128142","68796","59346","4177","","","1103","540","563","3074","1710","1364","1967","","","627","390","237","1340","718","622","0",""
"Батумская","1913","171200","91700","79500","43900","27700","16200","127300","64000","63300","176860","","","41868","24779","17089","134992","72913","62079","4702","","","1185","626","559","3517","1882","1635","2078","","","691","434","257","1387","757","630","1",""
"Батумская","1914","183100","96700","86400","54500","31900","22600","128600","64800","63800","176366","","","46449","26968","19481","129917","69284","60633","1839","","","297","167","130","1542","898","644","791","","","268","159","109","523","269","254","0",""
"Бессарабская","1896","","","","","","","","","","1827194","","","","","","","","","84232","","","","","","","","","53255","","","","","","","","","-913",""
"Бессарабская","1897","","","","","","","","","","1936403","","","","","","","","","84259","","","","","","","","","48010","","","","","","","","","924",""
"Бессарабская","1898","","","","","","","","","","1966905","","","","","","","","","84344","","","","","","","","","47529","","","","","","","","","1308",""
"Бессарабская","1899","","","","","","","","","","1971225","","","","","","","","","94910","","","","","","","","","57529","","","","","","","","","-397",""
"Бессарабская","1900","","","","","","","","","","2043871","","","","","","","","","90418","","","","","","","","","46106","","","","","","","","","-455",""
"Бессарабская","1901","","","","","","","","","","2087238","","","","","","","","","87790","","","","","","","","","46442","","","","","","","","","-27",""
"Бессарабская","1902","","","","","","","","","","2142537","","","","","","","","","96673","","","9528","5111","4417","87145","44950","42195","55423","","","7000","3807","3193","48423","25178","23245","-272",""
"Бессарабская","1903","","","","","","","","","","2124487","","","319183","161637","157546","1805304","913563","891741","94984","","","9268","4884","4384","85716","44304","41412","53236","","","6566","3590","2976","46670","24533","22137","-2119",""
"Бессарабская","1904","2195200","1124000","1071200","329200","170000","159200","1866000","954000","912000","2183638","","","321860","163092","158768","1861778","951073","910705","93334","","","9264","4769","4495","84070","43100","40970","53016","","","6075","3343","2732","46941","24335","22606","-2674",""
"Бессарабская","1905","2236900","1144700","1092200","334000","172100","161900","1902900","972600","930300","2182421","","","266977","137728","129249","1915444","979035","936409","84571","","","9097","4847","4250","75474","39104","36370","59875","","","7254","4050","3204","52621","27253","25368","-8334",""
"Бессарабская","1906","2262400","1157500","1104900","336800","173200","163600","1925600","984300","941300","2209627","","","278592","143703","134889","1931035","988960","942075","95090","","","8447","4528","3919","86643","44524","42119","55638","","","6567","3623","2944","49071","25604","23467","-20526",""
"Бессарабская","1907","2302100","1177300","1124800","339700","174500","165200","1962400","1002800","959600","2278351","","","268681","138400","130281","2009670","1026417","983253","107195","","","9838","5250","4588","97357","50151","47206","59964","","","6966","3772","3194","52998","27926","25072","-9411",""
"Бессарабская","1908","2344800","1198900","1145900","343700","176500","167200","2001100","1022400","978700","2317803","","","270561","139305","131256","2047242","1045337","1001905","101525","","","9147","4791","4356","92378","47279","45099","61388","","","6632","3650","2982","54756","28618","26138","-6957",""
"Бессарабская","1909","2393100","1222700","1170400","350300","179700","170600","2042800","1043000","999800","2365034","","","273433","140783","132650","2091601","1067562","1024039","105681","","","11023","5939","5084","94658","49371","45287","62498","","","8689","4744","3945","53809","28126","25683","-8395",""
"Бессарабская","1910","2441200","1246800","1194400","357800","183400","174400","2083400","1063400","1020000","2405171","","","321883","165548","156335","2083288","1062789","1020499","101544","","","10521","5494","5027","91023","46867","44156","77356","","","8333","4568","3765","69023","35951","33072","-10294",""
"Бессарабская","1911","2490200","1271500","1218700","365200","187100","178100","2125000","1084400","1040600","2448354","","","324217","166720","157497","2124137","1084042","1040095","98624","","","8470","4363","4107","90154","45983","44171","74293","","","6748","3838","2910","67545","34903","32642","2067",""
"Бессарабская","1912","2538900","1295300","1243600","373500","191200","182300","2165400","1104100","1061300","2472542","","","278990","143286","135704","2193552","1119153","1074399","99924","","","8511","4627","3884","91413","46894","44519","76862","","","7139","3898","3241","69723","35559","34164","-3448",""
"Бессарабская","1913","2588400","1319700","1268700","382300","195500","186800","2206100","1124200","1081900","2448642","","","280712","143811","136901","2167930","1106220","1061710","100432","","","7863","4057","3806","92569","47792","44777","76687","","","6951","3794","3157","69736","35696","34040","-6621",""
"Бессарабская","1914","2657300","1353200","1304100","411100","209200","201900","2246200","1144000","1102200","2472605","","","282084","144430","137654","2190521","1088454","1102067","77341","","","8400","4293","4107","68941","35470","33471","40566","","","5861","3250","2611","34705","18202","16503","-6350",""
"Варшавская","1896","","","","","","","","","","1282799","","","","","","","","","54189","","","","","","","","","38854","","","","","","","","","-335",""
"Варшавская","1897","","","","","","","","","","1335924","","","","","","","","","56481","","","","","","","","","30818","","","","","","","","","908",""
"Варшавская","1898","","","","","","","","","","1596926","","","","","","","","","53338","","","","","","","","","40543","","","","","","","","","-172",""
"Варшавская","1899","","","","","","","","","","1630866","","","","","","","","","48994","","","","","","","","","37781","","","","","","","","","-598",""
"Варшавская","1900","","","","","","","","","","1663788","","","","","","","","","56060","","","","","","","","","38527","","","","","","","","","-2162",""
"Варшавская","1901","","","","","","","","","","1703092","","","","","","","","","58452","","","","","","","","","38019","","","","","","","","","-1987",""
"Варшавская","1902","","","","","","","","","","1733899","","","","","","","","","66519","","","5259","2730","2529","61260","30674","30586","39911","","","3142","1583","1559","36769","19212","17557","-4690",""
"Варшавская","1903","","","","","","","","","","1583822","","","128734","62774","65960","1455088","716262","738826","65676","","","5637","2818","2819","60039","30575","29464","36390","","","3363","1731","1632","33027","17421","15606","-5796",""
"Варшавская","1904","","","","","","","","","","1591555","","","131085","64018","67067","1460470","717538","742932","62418","","","6243","3295","2948","56175","27967","28208","36984","","","3674","1944","1730","33310","17101","16209","-8439",""
"Варшавская","1905","","","","","","","","","","1699345","","","133048","66727","66321","1566297","772930","793367","53918","","","5695","3059","2636","48223","24646","23577","34115","","","3713","1963","1750","30402","15437","14965","-12461",""
"Варшавская","1906","","","","","","","","","","1613363","","","176482","87192","89290","1436881","710233","726648","56333","","","5498","2315","3183","50835","26021","24814","33037","","","3816","1940","1876","29221","15084","14137","-17400",""
"Варшавская","1907","","","","","","","","","","1742489","","","131117","65168","65949","1611372","798498","812874","56195","","","5656","2973","2683","50539","26437","24102","32361","","","3690","2456","1234","28671","15401","13270","-9959",""
"Варшавская","1908","","","","","","","","","","1690340","","","137563","73097","64466","1552777","795308","757469","57561","","","5698","2983","2715","51863","26382","25481","29484","","","3083","1615","1468","26401","14012","12389","-4965",""
"Варшавская","1909","","","","","","","","","","1757843","","","135948","68764","67184","1621895","801848","820047","56595","","","6283","3400","2883","50312","26475","23837","33596","","","4205","2205","2000","29391","15170","14221","-6537",""
"Варшавская","1910","","","","","","","","","","1812825","","","138453","68968","69485","1674372","823732","850640","59441","","","5654","2963","2691","53787","28329","25458","32363","","","3168","1642","1526","29195","16056","13139","-12663",""
"Варшавская","1911","","","","","","","","","","1907499","","","143415","70729","72686","1764084","854057","910027","58496","","","4923","2538","2385","53573","27262","26311","34259","","","3156","1642","1514","31103","15582","15521","-6836",""
"Варшавская","1912","","","","","","","","","","1846549","","","149459","75611","73848","1697090","835108","861982","56338","","","4814","2445","2369","51524","25152","26372","31645","","","2591","1325","1266","29054","14387","14667","-11972",""
"Варшавская","1913","","","","","","","","","","1688596","","","151396","80386","71010","1537200","780400","756800","","","","","","","","","","","","","","","","","","","-14657",""
"Варшавская","1914","","","","","","","","","","1817500","","","232100","122200","109900","1585400","804000","781400","","","","","","","","","","","","","","","","","","","-7260",""
"Виленская","1896","","","","","","","","","","1449457","","","","","","","","","64089","","","","","","","","","36177","","","","","","","","","-2201",""
"Виленская","1897","","","","","","","","","","1591912","","","","","","","","","62405","","","","","","","","","37281","","","","","","","","","-1862",""
"Виленская","1898","","","","","","","","","","1615109","","","","","","","","","63916","","","","","","","","","39466","","","","","","","","","-6863",""
"Виленская","1899","","","","","","","","","","1696554","","","","","","","","","61470","","","","","","","","","38347","","","","","","","","","-5079",""
"Виленская","1900","","","","","","","","","","1718349","","","","","","","","","64443","","","","","","","","","38837","","","","","","","","","-6935",""
"Виленская","1901","","","","","","","","","","1720832","","","","","","","","","63745","","","","","","","","","41141","","","","","","","","","-5705",""
"Виленская","1902","","","","","","","","","","1752165","","","","","","","","","65960","","","7367","4064","3303","58593","30328","28265","37693","","","4898","2600","2298","32795","16857","15938","-7325",""
