"территория","год","чн","чр","чс","мигр","р","с","еп","чн2","р2","с2","еп2","стаб","vr.ok"
"Акмолинская обл.","1896","634968","17737","12303","40610","27.93","19.38","8.56","657721","26.97","18.71","8.26","","0"
"Акмолинская обл.","1897","681012","23640","15117","13046","34.71","22.20","12.52","691740","34.17","21.85","12.32","","0"
"Акмолинская обл.","1898","702581","21547","13440","18758","30.67","19.13","11.54","715929","30.10","18.77","11.32","","0"
"Акмолинская обл.","1899","729446","29244","19180","23115","40.09","26.29","13.80","745913","39.21","25.71","13.49","","0"
"Акмолинская обл.","1900","762625","30772","20992","18766","40.35","27.53","12.82","776811","39.61","27.02","12.59","","0"
"Акмолинская обл.","1901","791171","30063","17235","4901","38.00","21.78","16.21","800003","37.58","21.54","16.03","","0"
"Акмолинская обл.","1902","808900","29952","15897","5346","37.03","19.65","17.38","818622","36.59","19.42","17.17","","0"
"Акмолинская обл.","1903","828421","30188","16229","6315","36.44","19.59","16.85","838531","36.00","19.35","16.65","","0"
"Акмолинская обл.","1904","848723","33619","23768","4077","39.61","28.00","11.61","855693","39.29","27.78","11.51","","0"
"Акмолинская обл.","1905","862702","30962","19664","10182","35.89","22.79","13.10","873398","35.45","22.51","12.94","","0"
"Акмолинская обл.","1906","884183","40476","24528","54222","45.78","27.74","18.04","918821","44.05","26.70","17.36","","0"
"Акмолинская обл.","1907","954353","41321","25202","64087","43.30","26.41","16.89","993917","41.57","25.36","16.22","","0"
"Акмолинская обл.","1908","1034559","42168","25334","122489","40.76","24.49","16.27","1102754","38.24","22.97","15.27","","0"
"Акмолинская обл.","1909","1173882","45683","26172","84450","38.92","22.30","16.62","1225127","37.29","21.36","15.93","","0"
"Акмолинская обл.","1910","1277843","62588","39390","29216","48.98","30.83","18.15","1303874","48.00","30.21","17.79","*","0"
"Акмолинская обл.","1911","1330257","62978","37073","2661","47.34","27.87","19.47","1344489","46.84","27.57","19.27","*","0"
"Акмолинская обл.","1912","1358823","63078","37135","6623","46.42","27.33","19.09","1375042","45.87","27.01","18.87","*","0"
"Акмолинская обл.","1913","1391389","63466","37538","29020","45.61","26.98","18.63","1418686","44.74","26.46","18.28","*","0"
"Акмолинская обл.","1914","1446337","66915","37304","38707","46.27","25.79","20.47","1480233","45.21","25.20","20.00","*","0"
"Акмолинская обл.","1915","1514655","","","4266","","","","","","","","","0"
"Амурская обл.","1896","116530","3822","2195","1869","32.80","18.84","13.96","118269","32.32","18.56","13.76","","1"
"Амурская обл.","1897","120026","4858","2394","1317","40.47","19.95","20.53","121907","39.85","19.64","20.21","","1"
"Амурская обл.","1898","123807","3953","2043","3930","31.93","16.50","15.43","126705","31.20","16.12","15.07","","1"
"Амурская обл.","1899","129647","4683","2826","1377","36.12","21.80","14.32","131257","35.68","21.53","14.15","","1"
"Амурская обл.","1900","132881","4985","3414","6725","37.51","25.69","11.82","136987","36.39","24.92","11.47","","1"
"Амурская обл.","1901","141177","5320","3113","3163","37.68","22.05","15.63","143845","36.98","21.64","15.34","","1"
"Амурская обл.","1902","146547","6275","3476","7421","42.82","23.72","19.10","151600","41.39","22.93","18.46","","1"
"Амурская обл.","1903","156767","6184","2861","3682","39.45","18.25","21.20","160245","38.59","17.85","20.74","","1"
"Амурская обл.","1904","163774","6968","3070","-199","42.55","18.75","23.80","165643","42.07","18.53","23.53","","1"
"Амурская обл.","1905","167527","6997","3521","22","41.77","21.02","20.75","169329","41.32","20.79","20.53","","1"
"Амурская обл.","1906","171143","7205","3370","4590","42.10","19.69","22.41","175322","41.10","19.22","21.87","","1"
"Амурская обл.","1907","179568","7996","6447","16910","44.53","35.90","8.63","188647","42.39","34.17","8.21","","1"
"Амурская обл.","1908","198027","8708","4725","8946","43.97","23.86","20.11","204423","42.60","23.11","19.48","","1"
"Амурская обл.","1909","210956","8355","5228","22417","39.61","24.78","14.82","223485","37.39","23.39","13.99","","1"
"Амурская обл.","1910","236500","10736","6750","17794","45.40","28.54","16.85","247230","43.43","27.30","16.12","","1"
"Амурская обл.","1911","258280","12802","6647","4235","49.57","25.74","23.83","263441","48.60","25.23","23.36","","1"
"Амурская обл.","1912","268670","12782","7187","6156","47.58","26.75","20.82","274504","46.56","26.18","20.38","","1"
"Амурская обл.","1913","280421","13088","5388","7715","46.67","19.21","27.46","288060","45.43","18.70","26.73","","1"
"Амурская обл.","1914","295836","16999","7823","14699","57.46","26.44","31.02","307619","55.26","25.43","29.83","","1"
"Амурская обл.","1915","319711","","","-1121","","","","","","","","","0"
"Архангельская","1896","342225","13568","9720","0","39.65","28.40","11.24","344145","39.43","28.24","11.18","","1"
"Архангельская","1897","346073","14759","8506","7","42.65","24.58","18.07","349194","42.27","24.36","17.91","","1"
"Архангельская","1898","352333","14849","8254","7","42.14","23.43","18.72","355624","41.75","23.21","18.54","","1"
"Архангельская","1899","358935","15171","8640","5","42.27","24.07","18.20","362193","41.89","23.85","18.03","","1"
"Архангельская","1900","365471","14533","12090","1","39.77","33.08","6.68","366692","39.63","32.97","6.66","","1"
"Архангельская","1901","367915","15403","13674","4","41.87","37.17","4.70","368781","41.77","37.08","4.69","","1"
"Архангельская","1902","369648","16755","10647","-2","45.33","28.80","16.52","372693","44.96","28.57","16.39","","1"
"Архангельская","1903","375754","16031","9431","1","42.66","25.10","17.56","379045","42.29","24.88","17.41","","1"
"Архангельская","1904","382355","16712","10059","-1","43.71","26.31","17.40","385671","43.33","26.08","17.25","","1"
"Архангельская","1905","389007","15369","9933","-7","39.51","25.53","13.97","391715","39.24","25.36","13.88","","1"
"Архангельская","1906","394436","16978","9962","-15","43.04","25.26","17.79","397926","42.67","25.03","17.63","","1"
"Архангельская","1907","401437","18186","9799","0","45.30","24.41","20.89","405616","44.84","24.16","20.68","","1"
"Архангельская","1908","409824","17320","11186","7","42.26","27.29","14.97","412887","41.95","27.09","14.86","","1"
"Архангельская","1909","415965","18572","12280","4","44.65","29.52","15.13","419105","44.31","29.30","15.01","","1"
"Архангельская","1910","422261","19177","11405","-9","45.42","27.01","18.41","426131","45.00","26.76","18.24","","1"
"Архангельская","1911","430024","19652","11127","3","45.70","25.88","19.82","434274","45.25","25.62","19.63","","1"
"Архангельская","1912","438552","20130","12003","3","45.90","27.37","18.53","442605","45.48","27.12","18.36","","1"
"Архангельская","1913","446682","20113","12592","1","45.03","28.19","16.84","450433","44.65","27.96","16.70","","1"
"Архангельская","1914","454204","20696","14271","-5","45.57","31.42","14.15","457406","45.25","31.20","14.05","","1"
"Архангельская","1915","460624","","","-3","","","","","","","","","0"
"Астраханская","1896","991355","33294","22024","-40","33.58","22.22","11.37","996959","33.40","22.09","11.30","","1"
"Астраханская","1897","1002585","34310","21389","19","34.22","21.33","12.89","1009041","34.00","21.20","12.81","","1"
"Астраханская","1898","1015525","36599","22727","2","36.04","22.38","13.66","1022446","35.80","22.23","13.57","","1"
"Астраханская","1899","1029399","34201","21497","-30","33.22","20.88","12.34","1035723","33.02","20.76","12.27","","1"
"Астраханская","1900","1042073","36599","23356","-27","35.12","22.41","12.71","1048667","34.90","22.27","12.63","","1"
"Астраханская","1901","1055289","36805","23492","24","34.88","22.26","12.62","1061944","34.66","22.12","12.54","","1"
"Астраханская","1902","1068626","38247","28652","-9","35.79","26.81","8.98","1073412","35.63","26.69","8.94","","1"
"Астраханская","1903","1078212","38835","23534","-5","36.02","21.83","14.19","1085842","35.76","21.67","14.09","","1"
"Астраханская","1904","1093508","43666","26094","-25","39.93","23.86","16.07","1102258","39.62","23.67","15.94","","1"
"Астраханская","1905","1111055","39535","28715","-81","35.58","25.84","9.74","1116416","35.41","25.72","9.69","","1"
"Астраханская","1906","1121794","45428","29807","-305","40.50","26.57","13.93","1129435","40.22","26.39","13.83","","1"
"Астраханская","1907","1137110","46662","33414","-478","41.04","29.39","11.65","1143483","40.81","29.22","11.59","","1"
"Астраханская","1908","1149880","48621","33931","17","42.28","29.51","12.78","1157218","42.02","29.32","12.69","","1"
"Астраханская","1909","1164587","47983","33441","-52","41.20","28.71","12.49","1171844","40.95","28.54","12.41","","1"
"Астраханская","1910","1179132","48917","32249","-74","41.49","27.35","14.14","1187410","41.20","27.16","14.04","","1"
"Астраханская","1911","1195726","47339","30886","-63","39.59","25.83","13.76","1203938","39.32","25.65","13.67","","1"
"Астраханская","1912","1212188","48826","28661","-653","40.28","23.64","16.64","1221918","39.96","23.46","16.50","","1"
"Астраханская","1913","1231700","50241","30073","-12","40.79","24.42","16.37","1241751","40.46","24.22","16.24","","1"
"Астраханская","1914","1251856","52717","29888","2","42.11","23.87","18.24","1263238","41.73","23.66","18.07","","1"
"Астраханская","1915","1274688","","","1","","","","","","","","","0"
"Бакинская с Баку","1896","820082","18078","14361","-12","22.04","17.51","4.53","827791","21.84","17.35","4.49","","0"
"Бакинская с Баку","1897","835548","20265","14653","33","24.25","17.54","6.72","846348","23.94","17.31","6.63","","0"
"Бакинская с Баку","1898","857241","20150","14466","20","23.51","16.88","6.63","866214","23.26","16.70","6.56","","0"
"Бакинская с Баку","1899","875249","24518","19413","-8","28.01","22.18","5.83","884086","27.73","21.96","5.77","","0"
"Бакинская с Баку","1900","892982","29029","18224","-46","32.51","20.41","12.10","904226","32.10","20.15","11.95","","0"
"Бакинская с Баку","1901","915563","28677","17564","-24","31.32","19.18","12.14","923546","31.05","19.02","12.03","","0"
"Бакинская с Баку","1902","931576","26679","18999","-62","28.64","20.39","8.24","934467","28.55","20.33","8.22","","0"
"Бакинская с Баку","1903","937363","29966","15004","-114","31.97","16.01","15.96","945253","31.70","15.87","15.83","","0"
"Бакинская с Баку","1904","953188","30311","18052","-183","31.80","18.94","12.86","960445","31.56","18.80","12.76","","0"
"Бакинская с Баку","1905","967738","30633","21730","-294","31.65","22.45","9.20","974203","31.44","22.31","9.14","","0"
"Бакинская с Баку","1906","980697","23500","18871","-437","23.96","19.24","4.72","986140","23.83","19.14","4.69","","0"
"Бакинская с Баку","1907","991603","28612","19493","-210","28.85","19.66","9.20","998319","28.66","19.53","9.13","","0"
"Бакинская с Баку","1908","1005065","31166","21868","-97","31.01","21.76","9.25","1011942","30.80","21.61","9.19","","0"
"Бакинская с Баку","1909","1018851","28449","19859","-63","27.92","19.49","8.43","1025689","27.74","19.36","8.37","","0"
"Бакинская с Баку","1910","1032558","26669","22361","-179","25.83","21.66","4.17","1038341","25.68","21.54","4.15","","0"
"Бакинская с Баку","1911","1044146","32718","21053","-107","31.33","20.16","11.17","1051849","31.11","20.02","11.09","","0"
"Бакинская с Баку","1912","1059590","30519","20739","-119","28.80","19.57","9.23","1066894","28.61","19.44","9.17","","0"
"Бакинская с Баку","1913","1074232","33848","20465","-174","31.51","19.05","12.46","1082461","31.27","18.91","12.36","","0"
"Бакинская с Баку","1914","1090731","32846","22669","-150","30.11","20.78","9.33","1038835","31.62","21.82","9.80","","0"
"Бакинская с Баку","1915","988612","","","-34","","","","","","","","","0"
"Бессарабская","1896","1902010","85704","54186","-913","45.06","28.49","16.57","1917272","44.70","28.26","16.44","","1"
"Бессарабская","1897","1932615","85731","48849","924","44.36","25.28","19.08","1951457","43.93","25.03","18.90","","1"
"Бессарабская","1898","1970421","85818","48360","1308","43.55","24.54","19.01","1989741","43.13","24.30","18.83","","1"
"Бессарабская","1899","2009187","96569","58534","-397","48.06","29.13","18.93","2027948","47.62","28.86","18.76","","1"
"Бессарабская","1900","2046825","91998","46912","-455","44.95","22.92","22.03","2069060","44.46","22.67","21.79","","1"
"Бессарабская","1901","2091456","89324","47254","-27","42.71","22.59","20.12","2112408","42.29","22.37","19.92","","1"
"Бессарабская","1902","2133499","98577","56392","-272","46.20","26.43","19.77","2154592","45.75","26.17","19.58","","1"
"Бессарабская","1903","2175824","97034","54167","-2119","44.60","24.89","19.70","2196248","44.18","24.66","19.52","","1"
"Бессарабская","1904","2216799","94969","54609","-2674","42.84","24.63","18.21","2235589","42.48","24.43","18.05","","1"
"Бессарабская","1905","2254485","86579","61582","-8334","38.40","27.32","11.09","2262970","38.26","27.21","11.05","","1"
"Бессарабская","1906","2271477","97111","56609","-20526","42.75","24.92","17.83","2281450","42.57","24.81","17.75","","1"
"Бессарабская","1907","2291453","109176","61012","-9411","47.64","26.63","21.02","2310960","47.24","26.40","20.84","","1"
"Бессарабская","1908","2330578","103466","62461","-6957","44.39","26.80","17.59","2347561","44.07","26.61","17.47","","1"
"Бессарабская","1909","2364626","108840","63591","-8395","46.03","26.89","19.14","2383006","45.67","26.69","18.99","","1"
"Бессарабская","1910","2401481","103378","78708","-10294","43.05","32.77","10.27","2408741","42.92","32.68","10.24","","1"
"Бессарабская","1911","2416016","100357","75591","2067","41.54","31.29","10.25","2429408","41.31","31.11","10.19","","1"
"Бессарабская","1912","2442849","102159","78205","-3448","41.82","32.01","9.81","2453088","41.65","31.88","9.76","","1"
"Бессарабская","1913","2463356","102503","78027","-6621","41.61","31.68","9.94","2472283","41.46","31.56","9.90","","1"
"Бессарабская","1914","2481232","78693","45886","-6350","31.72","18.49","13.22","2494437","31.55","18.40","13.15","","1"
"Бессарабская","1915","2507689","","","-235","","","","","","","","","0"
"Варшавская с Варшавой","1896","1905241","79193","54293","-335","41.57","28.50","13.07","1917497","41.30","28.31","12.99","","1"
"Варшавская с Варшавой","1897","1929806","81589","54634","908","42.28","28.31","13.97","1943704","41.98","28.11","13.87","","1"
"Варшавская с Варшавой","1898","1957669","79394","57515","-172","40.56","29.38","11.18","1968503","40.33","29.22","11.11","","1"
"Варшавская с Варшавой","1899","1979376","75356","54412","-598","38.07","27.49","10.58","1989532","37.88","27.35","10.53","","1"
"Варшавская с Варшавой","1900","1999722","82469","56548","-2162","41.24","28.28","12.96","2011578","41.00","28.11","12.89","","1"
"Варшавская с Варшавой","1901","2023481","86957","56162","-1987","42.97","27.76","15.22","2037851","42.67","27.56","15.11","","1"
"Варшавская с Варшавой","1902","2052289","96054","55570","-4690","46.80","27.08","19.73","2070134","46.40","26.84","19.56","","1"
"Варшавская с Варшавой","1903","2088083","93974","55883","-5796","45.00","26.76","18.24","2104189","44.66","26.56","18.10","","1"
"Варшавская с Варшавой","1904","2120378","94172","56106","-8439","44.41","26.46","17.95","2135158","44.11","26.28","17.83","","1"
"Варшавская с Варшавой","1905","2150007","81812","52318","-12461","38.05","24.33","13.72","2158512","37.90","24.24","13.66","","1"
"Варшавская с Варшавой","1906","2167040","84328","51576","-17400","38.91","23.80","15.11","2174707","38.78","23.72","15.06","","1"
"Варшавская с Варшавой","1907","2182392","80973","49366","-9959","37.10","22.62","14.48","2193260","36.92","22.51","14.41","","1"
"Варшавская с Варшавой","1908","2204165","84003","46533","-4965","38.11","21.11","17.00","2220378","37.83","20.96","16.88","","1"
"Варшавская с Варшавой","1909","2236671","84351","51606","-6537","37.71","23.07","14.64","2249750","37.49","22.94","14.55","","1"
"Варшавская с Варшавой","1910","2262880","86105","49974","-12663","38.05","22.08","15.97","2274594","37.86","21.97","15.88","","1"
"Варшавская с Варшавой","1911","2286349","83445","52394","-6836","36.50","22.92","13.58","2298435","36.31","22.80","13.51","","1"
"Варшавская с Варшавой","1912","2310564","80671","48449","-11972","34.91","20.97","13.95","2320674","34.76","20.88","13.88","","1"
"Варшавская с Варшавой","1913","2330814","81458","49517","-14657","34.95","21.24","13.70","2339445","34.82","21.17","13.65","","1"
"Варшавская с Варшавой","1914","2348098","","","-7260","","","","","","","","","0"
"Виленская","1896","1563199","65329","36877","-2201","41.79","23.59","18.20","1576288","41.44","23.39","18.05","","1"
"Виленская","1897","1589450","63613","38002","-1862","40.02","23.91","16.11","1601295","39.73","23.73","15.99","","1"
"Виленская","1898","1613199","65153","40230","-6863","40.39","24.94","15.45","1622212","40.16","24.80","15.36","","1"
"Виленская","1899","1631259","62659","39089","-5079","38.41","23.96","14.45","1640487","38.20","23.83","14.37","","1"
"Виленская","1900","1649750","65690","39588","-6935","39.82","24.00","15.82","1659315","39.59","23.86","15.73","","1"
"Виленская","1901","1668917","64978","41937","-5705","38.93","25.13","13.81","1677570","38.73","25.00","13.73","","1"
"Виленская","1902","1686253","67590","38421","-7325","40.08","22.78","17.30","1697421","39.82","22.63","17.18","","1"
"Виленская","1903","1708638","60489","42572","-9160","35.40","24.92","10.49","1713013","35.31","24.85","10.46","","1"
"Виленская","1904","1717395","64104","41239","-7090","37.33","24.01","13.31","1725270","37.16","23.90","13.25","","1"
"Виленская","1905","1733170","59948","39987","-8308","34.59","23.07","11.52","1739153","34.47","22.99","11.48","","1"
"Виленская","1906","1745149","64121","36757","-10892","36.74","21.06","15.68","1753373","36.57","20.96","15.61","","1"
"Виленская","1907","1761622","64231","35974","-15683","36.46","20.42","16.04","1767902","36.33","20.35","15.98","","1"
"Виленская","1908","1774196","59534","34998","-9196","33.56","19.73","13.83","1781855","33.41","19.64","13.77","","1"
"Виленская","1909","1789536","64567","35912","-8163","36.08","20.07","16.01","1799763","35.88","19.95","15.92","","1"
"Виленская","1910","1810028","59528","37637","-8391","32.89","20.79","12.09","1816893","32.76","20.72","12.05","","1"
"Виленская","1911","1823776","60794","35880","-7044","33.33","19.67","13.66","1832888","33.17","19.58","13.59","","1"
"Виленская","1912","1842031","63977","35545","-8897","34.73","19.30","15.44","1851781","34.55","19.20","15.35","","1"
"Виленская","1913","1861566","58992","34137","-10558","31.69","18.34","13.35","1868705","31.57","18.27","13.30","","1"
"Виленская","1914","1875863","","","-5926","","","","1871919","","","","","0"
"Виленская","1915","1867981","","","-475","","","","","","","","","0"
"Витебская","1896","1469953","60659","36446","-6632","41.27","24.79","16.47","1478726","41.02","24.65","16.37","","1"
"Витебская","1897","1487534","62425","35493","-3788","41.97","23.86","18.11","1499076","41.64","23.68","17.97","","1"
"Витебская","1898","1510678","64667","35401","-7842","42.81","23.43","19.37","1521365","42.51","23.27","19.24","","1"
"Витебская","1899","1532102","65658","35541","-5336","42.85","23.20","19.66","1544459","42.51","23.01","19.50","","1"
"Витебская","1900","1556883","65740","38777","-8236","42.23","24.91","17.32","1566228","41.97","24.76","17.22","","1"
"Витебская","1901","1575610","64885","41627","-7449","41.18","26.42","14.76","1583501","40.98","26.29","14.69","","1"
"Витебская","1902","1591419","69567","38497","-7631","43.71","24.19","19.52","1603110","43.40","24.01","19.38","","1"
"Витебская","1903","1614859","59122","43232","-13000","36.61","26.77","9.84","1616304","36.58","26.75","9.83","","1"
"Витебская","1904","1617749","66752","39853","-3315","41.26","24.63","16.63","1629671","40.96","24.45","16.51","","1"
"Витебская","1905","1641652","59666","42001","-4635","36.35","25.58","10.76","1648388","36.20","25.48","10.72","","1"
"Витебская","1906","1655142","63752","36125","-12477","38.52","21.83","16.69","1662860","38.34","21.72","16.61","","1"
"Витебская","1907","1670601","68200","34763","-27858","40.82","20.81","20.01","1673389","40.76","20.77","19.98","","1"
"Витебская","1908","1676180","63200","35359","-26484","37.70","21.09","16.61","1677013","37.69","21.08","16.60","","1"
"Витебская","1909","1677847","64689","37772","-14310","38.55","22.51","16.04","1684378","38.41","22.42","15.98","","1"
"Витебская","1910","1690926","63484","39691","-7113","37.54","23.47","14.07","1699252","37.36","23.36","14.00","","1"
"Витебская","1911","1707606","64759","32985","-6839","37.92","19.32","18.61","1720044","37.65","19.18","18.47","","1"
"Витебская","1912","1732542","64651","33551","-5805","37.32","19.37","17.95","1745159","37.05","19.23","17.82","","1"
"Витебская","1913","1757838","66177","35034","-5271","37.65","19.93","17.72","1770742","37.37","19.78","17.59","","1"
"Витебская","1914","1783710","64882","36873","-4527","36.37","20.67","15.70","1795425","36.14","20.54","15.60","","1"
"Витебская","1915","1807192","","","-384","","","","","","","","","0"
"Владимирская","1896","1495759","79678","61569","-58","53.27","41.16","12.11","1504766","52.95","40.92","12.03","","1"
"Владимирская","1897","1513810","83596","58226","53","55.22","38.46","16.76","1526486","54.76","38.14","16.62","","1"
"Владимирская","1898","1539233","79414","62156","-30","51.59","40.38","11.21","1547831","51.31","40.16","11.15","","1"
"Владимирская","1899","1556461","84165","56064","-130","54.07","36.02","18.05","1570405","53.59","35.70","17.89","","1"
"Владимирская","1900","1584432","80698","59104","-6","50.93","37.30","13.63","1595202","50.59","37.05","13.54","","1"
"Владимирская","1901","1606020","83120","65750","-20","51.76","40.94","10.82","1614679","51.48","40.72","10.76","","1"
"Владимирская","1902","1623370","86466","60159","42","53.26","37.06","16.21","1636509","52.84","36.76","16.08","","1"
"Владимирская","1903","1649719","86321","62767","-13","52.32","38.05","14.28","1661462","51.95","37.78","14.18","","1"
"Владимирская","1904","1673260","90801","56372","12","54.27","33.69","20.58","1690422","53.71","33.35","20.37","","1"
"Владимирская","1905","1707701","83394","64683","-43","48.83","37.88","10.96","1717101","48.57","37.67","10.90","","1"
"Владимирская","1906","1726536","85117","60163","-117","49.30","34.85","14.45","1738925","48.95","34.60","14.35","","1"
"Владимирская","1907","1751373","86618","56235","-224","49.46","32.11","17.35","1766410","49.04","31.84","17.20","","1"
"Владимирская","1908","1781532","85718","59626","-91","48.11","33.47","14.65","1794501","47.77","33.23","14.54","","1"
"Владимирская","1909","1807533","88793","61919","-157","49.12","34.26","14.87","1820859","48.76","34.01","14.76","","1"
"Владимирская","1910","1834250","87201","61142","18","47.54","33.33","14.21","1847258","47.21","33.10","14.11","","1"
"Владимирская","1911","1860327","89093","55812","-6","47.89","30.00","17.89","1876915","47.47","29.74","17.73","","1"
"Владимирская","1912","1893602","85042","56923","-44","44.91","30.06","14.85","1907605","44.58","29.84","14.74","","1"
"Владимирская","1913","1921677","90358","60397","-136","47.02","31.43","15.59","1936551","46.66","31.19","15.47","","1"
"Владимирская","1914","1951502","89015","55771","2","45.61","28.58","17.04","1968078","45.23","28.34","16.89","","1"
"Владимирская","1915","1984748","","","-6","","","","","","","","","0"
"Вологодская","1896","1324904","59717","44255","-145","45.07","33.40","11.67","1332548","44.81","33.21","11.60","","1"
"Вологодская","1897","1340221","60426","39060","-223","45.09","29.14","15.94","1350765","44.73","28.92","15.82","","1"
"Вологодская","1898","1361364","61980","45197","-227","45.53","33.20","12.33","1369625","45.25","33.00","12.25","","1"
"Вологодская","1899","1377920","65954","37825","-1061","47.86","27.45","20.41","1391410","47.40","27.18","20.22","","1"
"Вологодская","1900","1404988","60772","48047","-1217","43.25","34.20","9.06","1410734","43.08","34.06","9.02","","1"
"Вологодская","1901","1416496","60424","57965","-585","42.66","40.92","1.74","1417433","42.63","40.89","1.73","","1"
"Вологодская","1902","1418370","68898","46746","-141","48.58","32.96","15.62","1429347","48.20","32.70","15.50","","1"
"Вологодская","1903","1440381","64702","42305","-424","44.92","29.37","15.55","1451340","44.58","29.15","15.43","","1"
"Вологодская","1904","1462354","68570","40512","-385","46.89","27.70","19.19","1476147","46.45","27.44","19.01","","1"
"Вологодская","1905","1490027","60173","46484","-345","40.38","31.20","9.19","1496689","40.20","31.06","9.15","","1"
"Вологодская","1906","1503371","69577","50989","-1025","46.28","33.92","12.36","1512136","46.01","33.72","12.29","","1"
"Вологодская","1907","1520934","73563","43611","-1979","48.37","28.67","19.69","1534884","47.93","28.41","19.51","","1"
"Вологодская","1908","1548919","67055","50000","-4737","43.29","32.28","11.01","1555070","43.12","32.15","10.97","","1"
"Вологодская","1909","1561237","71137","44290","-1818","45.56","28.37","17.20","1573718","45.20","28.14","17.06","","1"
"Вологодская","1910","1586266","72681","48079","-129","45.82","30.31","15.51","1598471","45.47","30.08","15.39","","1"
"Вологодская","1911","1610739","76248","47457","-115","47.34","29.46","17.87","1625035","46.92","29.20","17.72","","1"
"Вологодская","1912","1639415","75617","51052","-572","46.12","31.14","14.98","1651382","45.79","30.91","14.88","","1"
"Вологодская","1913","1663408","81609","55240","-785","49.06","33.21","15.85","1676167","48.69","32.96","15.73","","1"
"Вологодская","1914","1688992","80081","53303","-411","47.41","31.56","15.85","1702141","47.05","31.32","15.73","","1"
"Вологодская","1915","1715359","","","-192","","","","","","","","","0"
"Волынская","1896","2919051","142324","75929","-763","48.76","26.01","22.75","2951745","48.22","25.72","22.49","","1"
"Волынская","1897","2984683","140824","76788","834","47.18","25.73","21.45","3017002","46.68","25.45","21.23","","1"
"Волынская","1898","3049553","141388","78973","-501","46.36","25.90","20.47","3080406","45.90","25.64","20.26","","1"
"Волынская","1899","3111467","150278","88333","-1673","48.30","28.39","19.91","3141507","47.84","28.12","19.72","","1"
"Волынская","1900","3171739","156580","83114","-3224","49.37","26.20","23.16","3206732","48.83","25.92","22.91","","1"
"Волынская","1901","3241981","148471","80221","-2829","45.80","24.74","21.05","3274583","45.34","24.50","20.84","","1"
"Волынская","1902","3307402","155440","84157","-4402","47.00","25.45","21.55","3340957","46.53","25.19","21.34","","1"
"Волынская","1903","3374739","153933","86937","-6375","45.61","25.76","19.85","3404960","45.21","25.53","19.68","","1"
"Волынская","1904","3435360","151457","90125","-6789","44.09","26.23","17.85","3462761","43.74","26.03","17.71","","1"
"Волынская","1905","3490308","144810","98609","-14929","41.49","28.25","13.24","3505921","41.30","28.13","13.18","","1"
"Волынская","1906","3521581","155034","87344","-28709","44.02","24.80","19.22","3541383","43.78","24.66","19.11","","1"
"Волынская","1907","3561260","159451","83134","-19323","44.77","23.34","21.43","3589986","44.42","23.16","21.26","","1"
"Волынская","1908","3618866","151134","83595","-16030","41.76","23.10","18.66","3644874","41.46","22.93","18.53","","1"
"Волынская","1909","3671006","153948","88803","-14510","41.94","24.19","17.75","3696426","41.65","24.02","17.62","","1"
"Волынская","1910","3721963","156290","98219","-18217","41.99","26.39","15.60","3741996","41.77","26.25","15.52","","1"
"Волынская","1911","3762101","155987","84279","-9765","41.46","22.40","19.06","3793147","41.12","22.22","18.90","","1"
"Волынская","1912","3824363","158548","74250","-13817","41.46","19.41","22.04","3859643","41.08","19.24","21.84","","1"
"Волынская","1913","3895140","148888","86017","-16596","38.22","22.08","16.14","3918232","38.00","21.95","16.05","","1"
"Волынская","1914","3941415","146079","100647","-10336","37.06","25.54","11.53","3959039","36.90","25.42","11.48","","1"
"Волынская","1915","3976715","","","-1127","","","","","","","","","0"
"Воронежская","1896","2491775","149582","109686","-4767","60.03","44.02","16.01","2509299","59.61","43.71","15.90","","1"
"Воронежская","1897","2526904","156010","94798","-2419","61.74","37.52","24.22","2556188","61.03","37.09","23.95","","1"
"Воронежская","1898","2585697","145031","106206","-6972","56.09","41.07","15.02","2601591","55.75","40.82","14.92","","1"
"Воронежская","1899","2617550","158540","96014","-9840","60.57","36.68","23.89","2643806","59.97","36.32","23.65","","1"
"Воронежская","1900","2670236","161634","94568","-5849","60.53","35.42","25.12","2700729","59.85","35.02","24.83","","1"
"Воронежская","1901","2731453","155124","99821","-609","56.79","36.55","20.25","2758710","56.23","36.18","20.05","","1"
"Воронежская","1902","2786147","159097","110348","-2698","57.10","39.61","17.50","2809110","56.64","39.28","17.35","","1"
"Воронежская","1903","2832198","175460","92730","-4104","61.95","32.74","29.21","2871332","61.11","32.30","28.81","","1"
"Воронежская","1904","2910824","171839","95401","-1631","59.03","32.77","26.26","2948069","58.29","32.36","25.93","","1"
"Воронежская","1905","2985631","170519","112399","-1966","57.11","37.65","19.47","3013621","56.58","37.30","19.29","","1"
"Воронежская","1906","3041785","167182","101390","-11055","54.96","33.33","21.63","3069072","54.47","33.04","21.44","","1"
"Воронежская","1907","3096522","178042","101456","-29479","57.50","32.76","24.73","3120016","57.06","32.52","24.55","","1"
"Воронежская","1908","3143629","169106","107829","-37832","53.79","34.30","19.49","3155337","53.59","34.17","19.42","","1"
"Воронежская","1909","3167074","167995","124973","-35967","53.04","39.46","13.58","3170600","52.99","39.42","13.57","","1"
"Воронежская","1910","3174129","172614","132748","-3775","54.38","41.82","12.56","3192140","54.07","41.59","12.49","","1"
"Воронежская","1911","3210220","177020","105146","-539","55.14","32.75","22.39","3245757","54.54","32.39","22.14","","1"
